removal_rank,head,relation,tail,first_removed_percent,seed,nested_removals
1,person78,hasAge,v36,15.0,42,True
2,person63,hasAge,v36,15.0,42,True
3,person43,hasAge,v91,15.0,42,True
4,person68,hasAge,v8,15.0,42,True
5,person20,hasAge,v62,15.0,42,True
6,person89,hasAge,v48,15.0,42,True
7,person10,hasAge,v3,15.0,42,True
8,person9,hasAge,v71,15.0,42,True
9,person40,hasAge,v13,15.0,42,True
10,person76,hasAge,v77,15.0,42,True
11,person2,hasAge,v73,15.0,42,True
12,person77,hasAge,v8,15.0,42,True
13,person17,hasAge,v53,15.0,42,True
14,person96,hasAge,v53,15.0,42,True
15,person91,hasAge,v72,15.0,42,True
16,person60,hasAge,v39,30.0,42,True
17,person39,hasAge,v45,30.0,42,True
18,person55,hasAge,v92,30.0,42,True
19,person92,hasAge,v76,30.0,42,True
20,person84,hasAge,v32,30.0,42,True
21,person61,hasAge,v28,30.0,42,True
22,person31,hasAge,v18,30.0,42,True
23,person19,hasAge,v30,30.0,42,True
24,person11,hasAge,v97,30.0,42,True
25,person51,hasAge,v78,30.0,42,True
26,person24,hasAge,v46,30.0,42,True
27,person35,hasAge,v81,30.0,42,True
28,person26,hasAge,v21,30.0,42,True
29,person80,hasAge,v86,30.0,42,True
30,person22,hasAge,v30,30.0,42,True
31,person83,hasAge,v7,45.0,42,True
32,person18,hasAge,v44,45.0,42,True
33,person93,hasAge,v57,45.0,42,True
34,person8,hasAge,v61,45.0,42,True
35,person75,hasAge,v73,45.0,42,True
36,person0,hasAge,v38,45.0,42,True
37,person50,hasAge,v97,45.0,42,True
38,person95,hasAge,v50,45.0,42,True
39,person12,hasAge,v83,45.0,42,True
40,person37,hasAge,v11,45.0,42,True
41,person46,hasAge,v32,45.0,42,True
42,person15,hasAge,v19,45.0,42,True
43,person85,hasAge,v33,45.0,42,True
44,person82,hasAge,v34,45.0,42,True
45,person66,hasAge,v15,45.0,42,True
46,person81,hasAge,v63,60.0,42,True
47,person28,hasAge,v60,60.0,42,True
48,person3,hasAge,v60,60.0,42,True
49,person32,hasAge,v7,60.0,42,True
50,person16,hasAge,v31,60.0,42,True
51,person69,hasAge,v99,60.0,42,True
52,person97,hasAge,v43,60.0,42,True
53,person42,hasAge,v4,60.0,42,True
54,person41,hasAge,v50,60.0,42,True
55,person90,hasAge,v13,60.0,42,True
56,person59,hasAge,v33,60.0,42,True
57,person65,hasAge,v55,60.0,42,True
58,person45,hasAge,v67,60.0,42,True
59,person14,hasAge,v19,60.0,42,True
60,person54,hasAge,v60,60.0,42,True
61,person49,hasAge,v19,75.0,42,True
62,person29,hasAge,v6,75.0,42,True
63,person6,hasAge,v7,75.0,42,True
64,person87,hasAge,v64,75.0,42,True
65,person67,hasAge,v80,75.0,42,True
66,person4,hasAge,v16,75.0,42,True
67,person94,hasAge,v77,75.0,42,True
68,person23,hasAge,v37,75.0,42,True
69,person53,hasAge,v90,75.0,42,True
70,person5,hasAge,v16,75.0,42,True
71,person72,hasAge,v2,75.0,42,True
72,person33,hasAge,v95,75.0,42,True
73,person48,hasAge,v55,75.0,42,True
74,person52,hasAge,v94,75.0,42,True
75,person27,hasAge,v52,75.0,42,True
76,person88,hasAge,v89,,42,True
77,person57,hasAge,v20,,42,True
78,person74,hasAge,v71,,42,True
79,person73,hasAge,v82,,42,True
80,person70,hasAge,v77,,42,True
81,person30,hasAge,v61,,42,True
82,person44,hasAge,v27,,42,True
83,person71,hasAge,v21,,42,True
84,person7,hasAge,v87,,42,True
85,person34,hasAge,v97,,42,True
86,person58,hasAge,v5,,42,True
87,person47,hasAge,v52,,42,True
88,person86,hasAge,v73,,42,True
89,person56,hasAge,v10,,42,True
90,person38,hasAge,v69,,42,True
91,person62,hasAge,v83,,42,True
92,person79,hasAge,v12,,42,True
93,person21,hasAge,v15,,42,True
94,person13,hasAge,v22,,42,True
95,person64,hasAge,v29,,42,True
96,person36,hasAge,v31,,42,True
97,person1,hasAge,v95,,42,True
98,person98,hasAge,v4,,42,True
99,person99,hasAge,v12,,42,True
100,person25,hasAge,v79,,42,True
