run,missing_only,n_pairs,mean_query_abs_error,std_query_abs_error,mean_learning_abs_error,std_learning_abs_error,mean_error_difference_query_minus_learning,median_error_difference_query_minus_learning,std_error_difference_query_minus_learning,paired_t_p_value,wilcoxon_p_value,cohen_dz_query_minus_learning,bootstrap_mean_diff_ci_low,bootstrap_mean_diff_ci_high,better_method_by_mean,window_condition,removal_percent,removed_relation,nested_removals
with_windows_original,False,100,2.79,5.470388607325033,0.20889732360839844,0.37421646906589284,2.5811026763916014,-0.0758991241455078,5.396341048593594,6.025713520791603e-06,0.7129472348148089,0.47830606945502346,1.5915035104751587,3.6463942928314204,learned_regression,with_windows,0.0,hasAge,True
without_windows_original,False,100,1.98,3.9131480003607413,0.24817773818969727,0.2149659620604374,1.7318222618103027,-0.08572769165039056,3.9092847479971926,2.4343721139634912e-05,0.9014897097022484,0.443002332510455,1.0278925237655638,2.561124113559722,learned_regression,without_windows,0.0,hasAge,True
with_windows_removed_15pct,False,100,3.49,5.663091563855034,0.764986686706543,1.8439022160209926,2.725013313293457,-0.0259933471679687,5.2505229736584855,1.1216867372332016e-06,0.007705662880195226,0.5189984553852374,1.7510025157928468,3.7865045237541195,learned_regression,with_windows,15.0,hasAge,True
without_windows_removed_15pct,False,100,4.64,7.541829480914556,0.6827289199829102,1.6467404105031722,3.95727108001709,-0.01861763000488275,7.3606944431515124,5.07625210402268e-07,0.001838686519824989,0.537621974472665,2.5811319537162785,5.49027801656723,learned_regression,without_windows,15.0,hasAge,True
with_windows_removed_30pct,False,100,6.2,7.333333333333333,1.107231979370117,2.157831404787832,5.092768020629883,1.6054306030273438,6.779225565744075,2.6186137630166242e-11,1.6712533834681047e-06,0.7512315339327273,3.7912577319145204,6.392869063377379,learned_regression,with_windows,30.0,hasAge,True
without_windows_removed_30pct,False,100,7.71,6.695837693988888,2.1974754524230957,3.926602284009161,5.512524547576905,5.190540313720703,6.996811204527285,4.363437098226908e-12,4.360082482018146e-10,0.7878624113810627,4.181272840499878,6.876102843284606,learned_regression,without_windows,30.0,hasAge,True
with_windows_removed_45pct,False,100,8.62,8.430080819675611,2.1626619720458984,3.0662823642581416,6.457338027954101,3.2746315002441406,8.068306805956597,2.3611244290519673e-12,2.5075552925101713e-10,0.800333723450729,4.8728645472526555,8.051422305107115,learned_regression,with_windows,45.0,hasAge,True
without_windows_removed_45pct,False,100,8.85,11.138589758949818,1.8801502037048339,2.986519362914443,6.969849796295166,1.9895706176757812,10.866986111632164,4.886728924523321e-09,1.6057045258895547e-07,0.6413783660618235,4.969049549102783,9.096635813713073,learned_regression,without_windows,45.0,hasAge,True
with_windows_removed_60pct,False,100,12.02,10.111479624764133,2.619651184082031,3.2565097353880677,9.400348815917969,7.839433670043945,9.888369461202393,1.305494772132795e-15,2.0450905226320243e-12,0.950647005332962,7.4324045124053955,11.295853585720062,learned_regression,with_windows,60.0,hasAge,True
without_windows_removed_60pct,False,100,7.71,7.319953358575255,2.6429961204528807,3.3713554577638707,5.067003879547119,2.968616485595703,7.486270037278516,9.296711883456824e-10,7.696539755328664e-08,0.6768395815693989,3.6266175322532654,6.586221037864684,learned_regression,without_windows,60.0,hasAge,True
with_windows_removed_75pct,False,100,12.41,12.255771676803521,3.321356792449951,3.473335461698915,9.08864320755005,5.30596923828125,11.744677682629986,8.6784733872939e-12,1.3823325189872665e-11,0.7738520760762869,6.780760626792908,11.409542075157166,learned_regression,with_windows,75.0,hasAge,True
without_windows_removed_75pct,False,100,13.54,12.462809320599275,3.545343475341797,3.7758065300927712,9.994656524658204,7.371015548706055,12.345483253792242,1.4958078300008163e-12,5.300777684835876e-12,0.8095800155565462,7.576104321956635,12.48432199859619,learned_regression,without_windows,75.0,hasAge,True
