run,window_condition,removal_percent,removed_relation,nested_removals,n_people,best_person,best_true_age,best_pred_age,best_error,best_abs_error,worst_person,worst_true_age,worst_pred_age,worst_error,worst_abs_error,mean_abs_error,median_abs_error,max_abs_error,mean_error,std_error,std_abs_error
with_windows_original,with_windows,0.0,hasAge,True,100,person87,64.0,63.9979362487793,-0.002063751220703125,0.002063751220703125,person1,95.0,91.40374755859375,-3.59625244140625,3.59625244140625,0.20889732360839844,0.13101768493652344,3.59625244140625,-0.03596050262451172,0.42756359338532673,0.3742164690658928
without_windows_original,without_windows,0.0,hasAge,True,100,person28,60.0,59.99932861328125,-0.00067138671875,0.00067138671875,person15,19.0,18.038578033447266,-0.9614219665527344,0.9614219665527344,0.24817773818969727,0.1807098388671875,0.9614219665527344,9.34600830078125e-07,0.32927905780246175,0.2149659620604374
with_windows_removed_15pct,with_windows,15.0,hasAge,True,100,person74,71.0,70.99653625488281,-0.0034637451171875,0.0034637451171875,person77,8.0,20.432287216186523,12.432287216186523,12.432287216186523,0.764986686706543,0.15188217163085938,12.432287216186523,0.08856613159179688,1.9957875586824594,1.8439022160209926
without_windows_removed_15pct,without_windows,15.0,hasAge,True,100,person98,4.0,3.9988021850585938,-0.00119781494140625,0.00119781494140625,person68,8.0,18.944644927978516,10.944644927978516,10.944644927978516,0.6827289199829102,0.16160964965820312,10.944644927978516,0.3630937957763672,1.7462566351473126,1.6467404105031718
with_windows_removed_30pct,with_windows,30.0,hasAge,True,100,person79,12.0,12.00018310546875,0.00018310546875,0.00018310546875,person77,8.0,19.05083465576172,11.050834655761719,11.050834655761719,1.107231979370117,0.11024856567382812,11.050834655761719,0.5170248413085937,2.371617096818679,2.157831404787832
without_windows_removed_30pct,without_windows,30.0,hasAge,True,100,person69,99.0,98.99847412109375,-0.00152587890625,0.00152587890625,person26,21.0,39.2742919921875,18.2742919921875,18.2742919921875,2.1974754524230957,0.20302200317382812,18.2742919921875,1.2153510856628418,4.336344355338853,3.926602284009161
with_windows_removed_45pct,with_windows,45.0,hasAge,True,100,person71,21.0,21.002460479736328,0.002460479736328125,0.002460479736328125,person50,97.0,85.93812561035156,-11.061874389648438,11.061874389648438,2.1626619720458984,0.16261672973632812,11.061874389648438,-0.1692737579345703,3.754663075470026,3.0662823642581416
without_windows_removed_45pct,without_windows,45.0,hasAge,True,100,person21,15.0,14.999156951904297,-0.000843048095703125,0.000843048095703125,person76,77.0,65.06359100341797,-11.936408996582031,11.936408996582031,1.8801502037048339,0.1819305419921875,11.936408996582031,-0.5791007041931152,3.4858606300638177,2.986519362914443
with_windows_removed_60pct,with_windows,60.0,hasAge,True,100,person72,2.0,2.0002708435058594,0.000270843505859375,0.000270843505859375,person31,18.0,3.6658592224121094,-14.33414077758789,14.33414077758789,2.619651184082031,1.5312862396240234,14.33414077758789,-0.22026302337646483,4.181834649681731,3.256509735388068
without_windows_removed_60pct,without_windows,60.0,hasAge,True,100,person44,27.0,26.997224807739258,-0.0027751922607421875,0.0027751922607421875,person69,99.0,84.89105224609375,-14.10894775390625,14.10894775390625,2.6429961204528807,0.9669876098632812,14.10894775390625,-0.4389579963684082,4.269355404770602,3.3713554577638702
with_windows_removed_75pct,with_windows,75.0,hasAge,True,100,person36,31.0,31.000164031982422,0.000164031982421875,0.000164031982421875,person26,21.0,34.42066192626953,13.420661926269531,13.420661926269531,3.321356792449951,2.2017574310302734,13.420661926269531,1.4539309883117675,4.590384577227594,3.4733354616989156
without_windows_removed_75pct,without_windows,75.0,hasAge,True,100,person70,77.0,77.00000762939453,7.62939453125e-06,7.62939453125e-06,person69,99.0,83.62336730957031,-15.376632690429688,15.376632690429688,3.545343475341797,2.2364768981933594,15.376632690429688,0.06971992492675781,5.191168422356752,3.775806530092771
