model,run,window_condition,removal_percent,n_age_literals,spearman_rho_raw,spearman_p_raw,kendall_tau_raw,kendall_p_raw,spearman_abs,kendall_abs,spearman_oriented,kendall_oriented
transe,with_windows_original,with_windows,0.0,100,0.971017101710171,1.0057906399459778e-62,0.85979797979798,8.149883064808468e-37,0.971017101710171,0.85979797979798,0.971017101710171,0.85979797979798
transe,without_windows_original,without_windows,0.0,100,-0.9686048604860485,4.7732525705698525e-61,-0.8492929292929294,5.803297313234052e-36,0.9686048604860485,0.8492929292929294,0.9686048604860485,0.8492929292929294
transe,with_windows_removed_25pct,with_windows,25.0,100,0.9790459045904589,1.523150666718033e-69,0.875959595959596,3.796301985071877e-38,0.9790459045904589,0.875959595959596,0.9790459045904589,0.875959595959596
transe,without_windows_removed_25pct,without_windows,25.0,100,-0.9734893489348935,1.3513017655336855e-64,-0.8589898989898991,9.486317175789802e-37,0.9734893489348935,0.8589898989898991,0.9734893489348935,0.8589898989898991
transe,with_windows_removed_50pct,with_windows,50.0,100,0.9742574257425741,3.258705808265271e-65,0.8674747474747476,1.912522116795762e-37,0.9742574257425741,0.8674747474747476,0.9742574257425741,0.8674747474747476
transe,without_windows_removed_50pct,without_windows,50.0,100,0.9767176717671766,2.516647583409438e-67,0.8743434343434344,5.17181085743014e-38,0.9767176717671766,0.8743434343434344,0.9767176717671766,0.8743434343434344
transe,with_windows_removed_75pct,with_windows,75.0,100,0.9789258925892588,2.009267781773186e-69,0.8763636363636366,3.513597315024435e-38,0.9789258925892588,0.8763636363636366,0.9789258925892588,0.8763636363636366
transe,without_windows_removed_75pct,without_windows,75.0,100,-0.976033603360336,1.0232814087361425e-66,-0.8727272727272728,7.041730995987032e-38,0.976033603360336,0.8727272727272728,0.976033603360336,0.8727272727272728
transe,with_windows_removed_99pct,with_windows,99.0,100,0.9743054305430543,2.977287739323218e-65,0.8593939393939395,8.792900662158127e-37,0.9743054305430543,0.8593939393939395,0.9743054305430543,0.8593939393939395
transe,without_windows_removed_99pct,without_windows,99.0,100,0.9736693669366936,9.718948145245658e-65,0.8646464646464648,3.2672873001051057e-37,0.9736693669366936,0.8646464646464648,0.9736693669366936,0.8646464646464648
distmult,with_windows_original,with_windows,0.0,100,0.7780378037803779,1.683491616718997e-21,0.5393939393939395,1.8415980205884442e-15,0.7780378037803779,0.5393939393939395,0.7780378037803779,0.5393939393939395
distmult,without_windows_original,without_windows,0.0,100,-0.0684068406840684,0.498875095256592,-0.04282828282828284,0.5278046677400058,0.0684068406840684,0.04282828282828284,0.0684068406840684,0.04282828282828284
distmult,with_windows_removed_25pct,with_windows,25.0,100,0.7418661866186618,1.0508440658394306e-18,0.4993939393939395,1.8130439660223397e-13,0.7418661866186618,0.4993939393939395,0.7418661866186618,0.4993939393939395
distmult,without_windows_removed_25pct,without_windows,25.0,100,-0.05413741374137413,0.5926773185873335,-0.03636363636363637,0.5919163776641384,0.05413741374137413,0.03636363636363637,0.05413741374137413,0.03636363636363637
distmult,with_windows_removed_50pct,with_windows,50.0,100,0.7509150915091508,2.3299310190704424e-19,0.5070707070707071,7.716092811966449e-14,0.7509150915091508,0.5070707070707071,0.7509150915091508,0.5070707070707071
distmult,without_windows_removed_50pct,without_windows,50.0,100,-0.07522352235223523,0.45697778359456565,-0.046060606060606066,0.4971311281635191,0.07522352235223523,0.046060606060606066,0.07522352235223523,0.046060606060606066
distmult,with_windows_removed_75pct,with_windows,75.0,100,0.783042304230423,6.281068954016693e-22,0.5454545454545455,8.916986028332554e-16,0.783042304230423,0.5454545454545455,0.783042304230423,0.5454545454545455
distmult,without_windows_removed_75pct,without_windows,75.0,100,-0.15025502550255024,0.1356612664263206,-0.098989898989899,0.1444888209775525,0.15025502550255024,0.098989898989899,0.15025502550255024,0.098989898989899
distmult,with_windows_removed_99pct,with_windows,99.0,100,-0.8044884488448845,6.70135330837444e-24,-0.5822222222222223,9.248456449963043e-18,0.8044884488448845,0.5822222222222223,0.8044884488448845,0.5822222222222223
