model,window_condition,initial_removal_percent,final_removal_percent,initial_spearman_abs,final_spearman_abs,spearman_degradation,spearman_slope_per_10pct,spearman_normalized_auc,initial_kendall_abs,final_kendall_abs,kendall_degradation,kendall_slope_per_10pct,kendall_normalized_auc,combined_auc
mure,with_windows,0.0,99.0,0.9909390939093908,0.9866186618661865,0.004320432043204314,-0.0005396559685883803,0.986352695875648,0.9305050505050507,0.9135353535353536,0.01696969696969708,-0.0020698629660066106,0.910984593408836,0.948668644642242
mure,without_windows,0.0,99.0,0.9915151515151513,0.9873267326732673,0.004188418841884034,-0.00027543757172108656,0.9865355020350517,0.9284848484848486,0.913939393939394,0.014545454545454528,-0.0009714101409491364,0.9101357004387307,0.9483356012368912
transd,without_windows,0.0,99.0,0.9863666366636662,0.984122412241224,0.002244224422442209,-0.00039271794773939955,0.9819291626132308,0.9042424242424244,0.8961616161616163,0.008080808080808133,-0.001223262080386396,0.8889786756453423,0.9354539191292865
transd,with_windows,0.0,99.0,0.9778697869786978,0.9782898289828982,-0.00042004200420042714,-3.750911606744561e-05,0.9787586637451623,0.8735353535353537,0.8719191919191921,0.0016161616161616266,-0.0005209144182937074,0.8752780328537906,0.9270183482994765
transe,with_windows,0.0,99.0,0.971017101710171,0.9743054305430543,-0.003288328832883325,0.00026439009902153265,0.9762186521682471,0.85979797979798,0.8593939393939395,0.00040404040404051766,-2.7589414336313616e-06,0.8698683807774718,0.9230435164728594
transe,without_windows,0.0,99.0,0.9686048604860485,0.9736693669366936,-0.0050645064506450455,0.0005151610953511919,0.9743393127191506,0.8492929292929294,0.8646464646464648,-0.015353535353535341,0.0018053987228728427,0.8657279869401081,0.9200336498296293
distmult,with_windows,0.0,99.0,0.7780378037803779,0.8044884488448845,-0.02645064506450656,0.0037704310198204004,0.7664990135377173,0.5393939393939395,0.5822222222222223,-0.04282828282828277,0.005276409802650253,0.527821650851954,0.6471603321948356
transr,with_windows,0.0,99.0,0.1818301830183018,0.021986198619861983,0.15984398439843983,0.015370445154029602,0.2917764503723099,0.1094949494949495,0.017373737373737378,0.09212121212121213,0.014231670939741436,0.2144291398836854,0.25310279512799766
transr,without_windows,0.0,99.0,0.3209720972097209,0.0891209120912091,0.23185118511851183,-0.010931413750076325,0.21660687280849295,0.216969696969697,0.05818181818181819,0.1587878787878788,-0.008619195794847751,0.1416651362105908,0.17913600450954187
distmult,without_windows,0.0,99.0,0.0684068406840684,0.06111011101110111,0.007296729672967288,0.003347239842017625,0.08589574108926044,0.04282828282828284,0.04161616161616163,0.001212121212121213,0.0024657053726443055,0.05576369758187941,0.07082971933556992
