age,pc1_raw,pc1_oriented,v_node,model,run,window_condition,removal_percent
1.0,-0.3200346229503601,-0.3200346229503601,v1,transe,with_windows_original,with_windows,0.0
2.0,-0.32048933874737756,-0.32048933874737756,v2,transe,with_windows_original,with_windows,0.0
3.0,-0.4367857200188635,-0.4367857200188635,v3,transe,with_windows_original,with_windows,0.0
4.0,-0.4637986834196015,-0.4637986834196015,v4,transe,with_windows_original,with_windows,0.0
5.0,-0.31529129132184563,-0.31529129132184563,v5,transe,with_windows_original,with_windows,0.0
6.0,-0.3731880210024765,-0.3731880210024765,v6,transe,with_windows_original,with_windows,0.0
7.0,-0.39829954726911376,-0.39829954726911376,v7,transe,with_windows_original,with_windows,0.0
8.0,-0.41195728358743994,-0.41195728358743994,v8,transe,with_windows_original,with_windows,0.0
9.0,-0.4154990680073511,-0.4154990680073511,v9,transe,with_windows_original,with_windows,0.0
10.0,-0.3118638452871089,-0.3118638452871089,v10,transe,with_windows_original,with_windows,0.0
11.0,-0.3615948164110117,-0.3615948164110117,v11,transe,with_windows_original,with_windows,0.0
12.0,-0.4609171703894908,-0.4609171703894908,v12,transe,with_windows_original,with_windows,0.0
13.0,-0.34925889162430773,-0.34925889162430773,v13,transe,with_windows_original,with_windows,0.0
14.0,-0.3535675421898474,-0.3535675421898474,v14,transe,with_windows_original,with_windows,0.0
15.0,-0.22067036626408149,-0.22067036626408149,v15,transe,with_windows_original,with_windows,0.0
16.0,-0.3471804727401359,-0.3471804727401359,v16,transe,with_windows_original,with_windows,0.0
17.0,-0.264470219620648,-0.264470219620648,v17,transe,with_windows_original,with_windows,0.0
18.0,-0.2988626652684712,-0.2988626652684712,v18,transe,with_windows_original,with_windows,0.0
19.0,-0.39672434806435847,-0.39672434806435847,v19,transe,with_windows_original,with_windows,0.0
20.0,-0.3369900359210811,-0.3369900359210811,v20,transe,with_windows_original,with_windows,0.0
21.0,-0.2489365590419873,-0.2489365590419873,v21,transe,with_windows_original,with_windows,0.0
22.0,-0.2847587290427211,-0.2847587290427211,v22,transe,with_windows_original,with_windows,0.0
23.0,-0.34193196721594893,-0.34193196721594893,v23,transe,with_windows_original,with_windows,0.0
24.0,-0.3371669666333666,-0.3371669666333666,v24,transe,with_windows_original,with_windows,0.0
25.0,-0.3196035009258021,-0.3196035009258021,v25,transe,with_windows_original,with_windows,0.0
26.0,-0.2887946065118331,-0.2887946065118331,v26,transe,with_windows_original,with_windows,0.0
27.0,-0.3919878315709319,-0.3919878315709319,v27,transe,with_windows_original,with_windows,0.0
28.0,-0.23679549736523609,-0.23679549736523609,v28,transe,with_windows_original,with_windows,0.0
29.0,-0.32643892010660325,-0.32643892010660325,v29,transe,with_windows_original,with_windows,0.0
30.0,-0.3667693193204445,-0.3667693193204445,v30,transe,with_windows_original,with_windows,0.0
31.0,-0.21953339794132465,-0.21953339794132465,v31,transe,with_windows_original,with_windows,0.0
32.0,-0.1836822343504202,-0.1836822343504202,v32,transe,with_windows_original,with_windows,0.0
33.0,-0.3071482112377234,-0.3071482112377234,v33,transe,with_windows_original,with_windows,0.0
34.0,-0.17826276471754338,-0.17826276471754338,v34,transe,with_windows_original,with_windows,0.0
35.0,-0.2667712444529816,-0.2667712444529816,v35,transe,with_windows_original,with_windows,0.0
36.0,-0.17692539980648725,-0.17692539980648725,v36,transe,with_windows_original,with_windows,0.0
37.0,-0.16765276538222088,-0.16765276538222088,v37,transe,with_windows_original,with_windows,0.0
38.0,-0.08711502635578676,-0.08711502635578676,v38,transe,with_windows_original,with_windows,0.0
39.0,-0.12530924345930222,-0.12530924345930222,v39,transe,with_windows_original,with_windows,0.0
40.0,-0.12906178204849406,-0.12906178204849406,v40,transe,with_windows_original,with_windows,0.0
41.0,-0.05015845356491399,-0.05015845356491399,v41,transe,with_windows_original,with_windows,0.0
42.0,-0.12353706392804836,-0.12353706392804836,v42,transe,with_windows_original,with_windows,0.0
43.0,-0.10716119328412221,-0.10716119328412221,v43,transe,with_windows_original,with_windows,0.0
44.0,-0.048221762120610266,-0.048221762120610266,v44,transe,with_windows_original,with_windows,0.0
45.0,-0.12894125691524136,-0.12894125691524136,v45,transe,with_windows_original,with_windows,0.0
46.0,-0.11073073682887574,-0.11073073682887574,v46,transe,with_windows_original,with_windows,0.0
