removal_rank,head,relation,tail,first_removed_percent,seed,nested_removals
1,person16,hasAge,v31,25.0,42,True
2,person182,hasAge,v93,25.0,42,True
3,person142,hasAge,v50,25.0,42,True
4,person140,hasAge,v96,25.0,42,True
5,person188,hasAge,v53,25.0,42,True
6,person54,hasAge,v60,25.0,42,True
7,person32,hasAge,v7,25.0,42,True
8,person10,hasAge,v3,25.0,42,True
9,person22,hasAge,v30,25.0,42,True
10,person26,hasAge,v21,25.0,42,True
11,person156,hasAge,v68,25.0,42,True
12,person127,hasAge,v86,25.0,42,True
13,person101,hasAge,v64,25.0,42,True
14,person166,hasAge,v33,25.0,42,True
15,person67,hasAge,v80,25.0,42,True
16,person62,hasAge,v83,25.0,42,True
17,person71,hasAge,v21,25.0,42,True
18,person161,hasAge,v64,25.0,42,True
19,person66,hasAge,v15,25.0,42,True
20,person171,hasAge,v3,25.0,42,True
21,person35,hasAge,v81,25.0,42,True
22,person68,hasAge,v8,25.0,42,True
23,person167,hasAge,v19,25.0,42,True
24,person81,hasAge,v63,25.0,42,True
25,person112,hasAge,v93,25.0,42,True
26,person120,hasAge,v81,25.0,42,True
27,person131,hasAge,v23,25.0,42,True
28,person96,hasAge,v53,25.0,42,True
29,person98,hasAge,v4,25.0,42,True
30,person11,hasAge,v97,25.0,42,True
31,person175,hasAge,v18,25.0,42,True
32,person8,hasAge,v61,25.0,42,True
33,person6,hasAge,v7,25.0,42,True
34,person31,hasAge,v18,25.0,42,True
35,person76,hasAge,v77,25.0,42,True
36,person46,hasAge,v32,25.0,42,True
37,person144,hasAge,v29,25.0,42,True
38,person34,hasAge,v97,25.0,42,True
39,person179,hasAge,v15,25.0,42,True
40,person115,hasAge,v87,25.0,42,True
41,person7,hasAge,v87,25.0,42,True
42,person64,hasAge,v29,25.0,42,True
43,person29,hasAge,v6,25.0,42,True
44,person2,hasAge,v73,25.0,42,True
45,person113,hasAge,v81,25.0,42,True
46,person155,hasAge,v25,25.0,42,True
47,person20,hasAge,v62,25.0,42,True
48,person129,hasAge,v52,25.0,42,True
49,person59,hasAge,v33,25.0,42,True
50,person163,hasAge,v54,25.0,42,True
51,person47,hasAge,v52,50.0,42,True
52,person39,hasAge,v45,50.0,42,True
53,person147,hasAge,v51,50.0,42,True
54,person75,hasAge,v73,50.0,42,True
55,person57,hasAge,v20,50.0,42,True
56,person72,hasAge,v2,50.0,42,True
57,person116,hasAge,v81,50.0,42,True
58,person33,hasAge,v95,50.0,42,True
59,person77,hasAge,v8,50.0,42,True
60,person194,hasAge,v35,50.0,42,True
61,person103,hasAge,v51,50.0,42,True
62,person14,hasAge,v19,50.0,42,True
63,person199,hasAge,v78,50.0,42,True
64,person198,hasAge,v89,50.0,42,True
65,person45,hasAge,v67,50.0,42,True
66,person133,hasAge,v34,50.0,42,True
67,person65,hasAge,v55,50.0,42,True
68,person164,hasAge,v10,50.0,42,True
69,person83,hasAge,v7,50.0,42,True
70,person53,hasAge,v90,50.0,42,True
71,person86,hasAge,v73,50.0,42,True
72,person191,hasAge,v90,50.0,42,True
73,person110,hasAge,v30,50.0,42,True
74,person23,hasAge,v37,50.0,42,True
75,person186,hasAge,v82,50.0,42,True
76,person13,hasAge,v22,50.0,42,True
77,person27,hasAge,v52,50.0,42,True
78,person180,hasAge,v35,50.0,42,True
79,person189,hasAge,v25,50.0,42,True
80,person50,hasAge,v97,50.0,42,True
81,person138,hasAge,v37,50.0,42,True
82,person169,hasAge,v59,50.0,42,True
83,person17,hasAge,v53,50.0,42,True
84,person174,hasAge,v65,50.0,42,True
85,person137,hasAge,v71,50.0,42,True
