run,comparison,missing_only,n_pairs,mean_query_abs_error,mean_learning_abs_error,mean_diff_query_minus_learning,median_diff_query_minus_learning,better_method_by_mean,paired_t_stat,paired_t_p_value,wilcoxon_stat,wilcoxon_p_value,cohen_dz_query_minus_learning,bootstrap_mean_diff_ci_low,bootstrap_mean_diff_ci_high,mean_geometry_abs_error,mean_diff_query_minus_geometry,median_diff_query_minus_geometry,cohen_dz_query_minus_geometry,mean_diff_learning_minus_geometry,median_diff_learning_minus_geometry,cohen_dz_learning_minus_geometry
every_2_removed,query_vs_learning,True,250,6.688,3.2723153457641603,3.41568465423584,2.487908363342285,learning,8.952281631224293,8.266453725045299e-17,7138.0,8.019474044784094e-14,0.5661920041991264,2.671942064666748,4.151044202041626,,,,,,,
every_3_removed,query_vs_learning,True,167,6.0359281437125745,2.8111818736184855,3.224746270094089,1.9124374389648438,learning,7.418375877225825,5.81857116627672e-12,3134.0,5.64100374554334e-10,0.5740511601468151,2.361982884092959,4.082404240305552,,,,,,,
every_4_removed,query_vs_learning,True,125,6.024,2.7711831817626953,3.2528168182373047,2.3129615783691406,learning,7.230843901856632,4.3373223802329923e-11,1492.0,1.685434036948552e-09,0.6467463399696499,2.3960323081970216,4.167774168014526,,,,,,,
every_5_removed,query_vs_learning,True,100,5.64,2.399732093811035,3.240267906188965,1.978294372558594,learning,6.200674567248366,1.3038743186778679e-08,1015.0,2.081917811106984e-07,0.6200674567248367,2.235535409927368,4.316926959991454,,,,,,,
every_6_removed,query_vs_learning,True,83,5.831325301204819,2.5221775008971434,3.309147800307676,2.87166976928711,learning,5.995407388525713,5.225768109927271e-08,606.0,2.441521664930129e-07,0.6580814553382468,2.2592346398227185,4.421876756254448,,,,,,,
every_7_removed,query_vs_learning,True,72,5.972222222222222,2.387531386481391,3.5846908357408314,2.294281005859375,learning,5.420905616883597,7.734259311531724e-07,508.0,6.096205127813135e-06,0.638859853645106,2.3298228793674047,4.889877780278523,,,,,,,
every_8_removed,query_vs_learning,True,62,5.403225806451613,2.5439989951349076,2.8592268113167054,1.3459434509277342,learning,4.6573896652989974,1.780256896698147e-05,365.0,1.8088141127417848e-05,0.5914890789823473,1.695541274163031,4.083837829866717,,,,,,,
every_2_removed,query_vs_geometry,True,250,6.688,,,,geometry,10.729511725029262,2.5193993060000006e-22,5418.0,2.8900534921038845e-19,,3.2576530776779444,4.6797987943691,2.7223771637559833,3.965622836244017,2.839709836832812,0.6785939046514946,,,
every_3_removed,query_vs_geometry,True,167,6.0359281437125745,,,,geometry,6.5142986254133275,8.346075552729347e-10,3667.0,8.872206397727785e-08,,2.127291444932525,3.9234156549346966,3.0137950278464887,3.0221331158660862,1.710594226800779,0.5040915620010025,,,
every_4_removed,query_vs_geometry,True,125,6.024,,,,geometry,7.22962195825117,4.3648555474034105e-11,1554.0,4.2855034170775805e-09,,2.3118953410103216,3.9973304343980143,2.89072139913715,3.13327860086285,2.217313534500761,0.6466370460109904,,,
every_5_removed,query_vs_geometry,True,100,5.64,,,,geometry,4.7143055029867496,7.946249680335272e-06,1372.0,7.358431663867957e-05,,1.4157522573652999,3.4261741733809834,3.228042609876296,2.4119573901237032,1.5288902708078638,0.47143055029867503,,,
every_6_removed,query_vs_geometry,True,83,5.831325301204819,,,,geometry,5.552780614113121,3.3808229387997816e-07,713.0,2.9204269558746543e-06,,2.131461789412965,4.409855214499489,2.611543430023835,3.219781871180985,2.775030563387361,0.6094968549932249,,,
every_7_removed,query_vs_geometry,True,72,5.972222222222222,,,,geometry,4.869667800664184,6.549354142360808e-06,634.0,0.00013565911290188312,,1.9487838267060564,4.5163431687772615,2.7691442520977128,3.203077970124509,1.93987155849495,0.5738958539959041,,,
every_8_removed,query_vs_geometry,True,62,5.403225806451613,,,,geometry,5.033541196501081,4.539997598296357e-06,374.0,2.3982133676565607e-05,,1.750839008491791,3.9511794951026946,2.5794673972736595,2.8237584091779535,1.990303514744781,0.6392603712163282,,,
every_2_removed,learning_vs_geometry,True,250,,3.2723153457641603,,,geometry,2.830131290975574,0.00503243987786823,12564.0,0.006350507807745853,,0.16329880858109228,0.9251127086095984,2.7223771637559833,,,,0.5499381820081767,0.47858919348715645,0.17899321913591107
every_3_removed,learning_vs_geometry,True,167,,2.8111818736184855,,,learning,-0.8627323257564433,0.3895293420607763,6565.0,0.473070959330945,,-0.6605754403966712,0.26462677677624097,3.0137950278464887,,,,-0.20261315422800305,-0.0757319939945229,-0.06676023171285449
every_4_removed,learning_vs_geometry,True,125,,2.7711831817626953,,,learning,-0.572104920976704,0.5682866264662526,3689.0,0.5403480426356616,,-0.5339906192162891,0.297661802328618,2.89072139913715,,,,-0.11953821737445443,-0.3183973508848439,-0.05117061974264221
every_5_removed,learning_vs_geometry,True,100,,2.399732093811035,,,learning,-2.9188341735418,0.004349355626870244,1700.0,0.004559412735012707,,-1.3883105435788186,-0.26882518215457757,3.228042609876296,,,,-0.8283105160652614,-0.7716498648365725,-0.29188341735418
every_6_removed,learning_vs_geometry,True,83,,2.5221775008971434,,,learning,-0.3126101081526788,0.7553705274219558,1685.0,0.7922979441708997,,-0.6459615604957716,0.4663339090402292,2.611543430023835,,,,-0.08936592912669154,-0.26334493348568344,-0.03431341718667586
every_7_removed,learning_vs_geometry,True,72,,2.387531386481391,,,learning,-1.4593801179849835,0.14887090040048429,1067.0,0.16571994539249113,,-0.8886203099999826,0.1257006867095111,2.7691442520977128,,,,-0.3816128656163219,-0.5025664675780916,-0.1719895962926676
every_8_removed,learning_vs_geometry,True,62,,2.5439989951349076,,,learning,-0.09915836178308227,0.9213376807184808,964.0,0.9301640699277,,-0.730213024570118,0.664002393036231,2.5794673972736595,,,,-0.03546840213875185,0.18674913425373263,-0.012593124539582286
