person,candidate_v,candidate_v_num,distance,true_v,true_v_num,exists_in_run,run_v,run_v_num,is_ground_truth,ground_truth_missing_in_run,absolute_error,signed_error,distance_rank_for_person
person0,v38,38,3.3882458,v38,38,True,v38,38,True,False,0,0,1
person0,v53,53,3.5833974,v38,38,True,v38,38,False,False,15,15,2
person0,v61,61,3.6102583,v38,38,True,v38,38,False,False,23,23,3
person0,v43,43,3.6241422,v38,38,True,v38,38,False,False,5,5,4
person0,v52,52,3.633851,v38,38,True,v38,38,False,False,14,14,5
person0,v39,39,3.636661,v38,38,True,v38,38,False,False,1,1,6
person0,v55,55,3.6524057,v38,38,True,v38,38,False,False,17,17,7
person0,v54,54,3.7357447,v38,38,True,v38,38,False,False,16,16,8
person0,v59,59,3.7590208,v38,38,True,v38,38,False,False,21,21,9
person0,v26,26,3.7654603,v38,38,True,v38,38,False,False,12,-12,10
person0,v37,37,3.7675812,v38,38,True,v38,38,False,False,1,-1,11
person0,v21,21,3.7786412,v38,38,True,v38,38,False,False,17,-17,12
person0,v45,45,3.7829213,v38,38,True,v38,38,False,False,7,7,13
person0,v33,33,3.7920272,v38,38,True,v38,38,False,False,5,-5,14
person0,v49,49,3.7985127,v38,38,True,v38,38,False,False,11,11,15
person0,v57,57,3.8020408,v38,38,True,v38,38,False,False,19,19,16
person0,v29,29,3.8102672,v38,38,True,v38,38,False,False,9,-9,17
person0,v63,63,3.8124812,v38,38,True,v38,38,False,False,25,25,18
person0,v51,51,3.8214216,v38,38,True,v38,38,False,False,13,13,19
person0,v58,58,3.8239918,v38,38,True,v38,38,False,False,20,20,20
person0,v48,48,3.8240116,v38,38,True,v38,38,False,False,10,10,21
person0,v50,50,3.8282776,v38,38,True,v38,38,False,False,12,12,22
person0,v64,64,3.833949,v38,38,True,v38,38,False,False,26,26,23
person0,v31,31,3.8487227,v38,38,True,v38,38,False,False,7,-7,24
person0,v18,18,3.8516462,v38,38,True,v38,38,False,False,20,-20,25
person0,v72,72,3.8557415,v38,38,True,v38,38,False,False,34,34,26
person0,v75,75,3.8686502,v38,38,True,v38,38,False,False,37,37,27
person0,v42,42,3.887782,v38,38,True,v38,38,False,False,4,4,28
person0,v24,24,3.8956048,v38,38,True,v38,38,False,False,14,-14,29
person0,v32,32,3.9153655,v38,38,True,v38,38,False,False,6,-6,30
person0,v28,28,3.91731,v38,38,True,v38,38,False,False,10,-10,31
person0,v70,70,3.921551,v38,38,True,v38,38,False,False,32,32,32
person0,v46,46,3.9324682,v38,38,True,v38,38,False,False,8,8,33
person0,v19,19,3.938452,v38,38,True,v38,38,False,False,19,-19,34
person0,v40,40,3.9398432,v38,38,True,v38,38,False,False,2,2,35
person0,v15,15,3.9548786,v38,38,True,v38,38,False,False,23,-23,36
person0,v23,23,3.9751868,v38,38,True,v38,38,False,False,15,-15,37
person0,v62,62,3.9758444,v38,38,True,v38,38,False,False,24,24,38
person0,v78,78,3.9762383,v38,38,True,v38,38,False,False,40,40,39
person0,v69,69,3.9807842,v38,38,True,v38,38,False,False,31,31,40
person0,v60,60,3.9896986,v38,38,True,v38,38,False,False,22,22,41
person0,v47,47,3.9910703,v38,38,True,v38,38,False,False,9,9,42
person0,v84,84,3.9929338,v38,38,True,v38,38,False,False,46,46,43
person0,v74,74,4.0014324,v38,38,True,v38,38,False,False,36,36,44
person0,v10,10,4.013231,v38,38,True,v38,38,False,False,28,-28,45
person0,v17,17,4.017145,v38,38,True,v38,38,False,False,21,-21,46
person0,v73,73,4.019904,v38,38,True,v38,38,False,False,35,35,47
person0,v68,68,4.0268316,v38,38,True,v38,38,False,False,30,30,48
person0,v16,16,4.0292077,v38,38,True,v38,38,False,False,22,-22,49
person0,v34,34,4.029269,v38,38,True,v38,38,False,False,4,-4,50
person0,v65,65,4.0363884,v38,38,True,v38,38,False,False,27,27,51
person0,v22,22,4.0411086,v38,38,True,v38,38,False,False,16,-16,52
person0,v88,88,4.0467134,v38,38,True,v38,38,False,False,50,50,53
person0,v30,30,4.0498652,v38,38,True,v38,38,False,False,8,-8,54
person0,v27,27,4.054461,v38,38,True,v38,38,False,False,11,-11,55
person0,v44,44,4.056633,v38,38,True,v38,38,False,False,6,6,56
person0,v89,89,4.0583205,v38,38,True,v38,38,False,False,51,51,57
person0,v85,85,4.059172,v38,38,True,v38,38,False,False,47,47,58
person0,v56,56,4.0725574,v38,38,True,v38,38,False,False,18,18,59
person0,v93,93,4.077919,v38,38,True,v38,38,False,False,55,55,60
person0,v99,99,4.078734,v38,38,True,v38,38,False,False,61,61,61
person0,v36,36,4.083177,v38,38,True,v38,38,False,False,2,-2,62
person0,v41,41,4.111381,v38,38,True,v38,38,False,False,3,3,63
person0,v97,97,4.1220336,v38,38,True,v38,38,False,False,59,59,64
person0,v80,80,4.135992,v38,38,True,v38,38,False,False,42,42,65
person0,v91,91,4.1392584,v38,38,True,v38,38,False,False,53,53,66
person0,v71,71,4.1393394,v38,38,True,v38,38,False,False,33,33,67
person0,v14,14,4.139646,v38,38,True,v38,38,False,False,24,-24,68
person0,v66,66,4.1523523,v38,38,True,v38,38,False,False,28,28,69
person0,v81,81,4.153651,v38,38,True,v38,38,False,False,43,43,70
person0,v86,86,4.156808,v38,38,True,v38,38,False,False,48,48,71
person0,v79,79,4.172442,v38,38,True,v38,38,False,False,41,41,72
person0,v20,20,4.186679,v38,38,True,v38,38,False,False,18,-18,73
person0,v98,98,4.1935716,v38,38,True,v38,38,False,False,60,60,74
person0,v35,35,4.201539,v38,38,True,v38,38,False,False,3,-3,75
person0,v67,67,4.2061596,v38,38,True,v38,38,False,False,29,29,76
person0,v92,92,4.211846,v38,38,True,v38,38,False,False,54,54,77
person0,v12,12,4.2132754,v38,38,True,v38,38,False,False,26,-26,78
person0,v94,94,4.2142205,v38,38,True,v38,38,False,False,56,56,79
person0,v25,25,4.2165637,v38,38,True,v38,38,False,False,13,-13,80
person0,v100,100,4.243426,v38,38,True,v38,38,False,False,62,62,81
person0,v8,8,4.2487545,v38,38,True,v38,38,False,False,30,-30,82
person0,v87,87,4.2562413,v38,38,True,v38,38,False,False,49,49,83
person0,v7,7,4.2597103,v38,38,True,v38,38,False,False,31,-31,84
person0,v11,11,4.270175,v38,38,True,v38,38,False,False,27,-27,85
