run,experiment,window_condition,removal_percent,removed_relation,nested_removals,n_people,best_person,best_true_age,best_pred_age,best_error,best_abs_error,worst_person,worst_true_age,worst_pred_age,worst_error,worst_abs_error,mean_top1_abs_error,median_top1_abs_error,max_top1_abs_error,mean_top1_error,std_top1_error,std_top1_abs_error,mean_top1_avg_abs_error,median_top1_avg_abs_error,std_top1_avg_error,std_top1_avg_abs_error,mean_top2_avg_abs_error,median_top2_avg_abs_error,std_top2_avg_error,std_top2_avg_abs_error,mean_top3_avg_abs_error,median_top3_avg_abs_error,std_top3_avg_error,std_top3_avg_abs_error,mean_top4_avg_abs_error,median_top4_avg_abs_error,std_top4_avg_error,std_top4_avg_abs_error,mean_top5_avg_abs_error,median_top5_avg_abs_error,std_top5_avg_error,std_top5_avg_abs_error,mean_top6_avg_abs_error,median_top6_avg_abs_error,std_top6_avg_error,std_top6_avg_abs_error,mean_top7_avg_abs_error,median_top7_avg_abs_error,std_top7_avg_error,std_top7_avg_abs_error,mean_top8_avg_abs_error,median_top8_avg_abs_error,std_top8_avg_error,std_top8_avg_abs_error,mean_top9_avg_abs_error,median_top9_avg_abs_error,std_top9_avg_error,std_top9_avg_abs_error,mean_top10_avg_abs_error,median_top10_avg_abs_error,std_top10_avg_error,std_top10_avg_abs_error
with_windows_original,200,with_windows,0.0,hasAge,True,200,person10,3.0,3.0,0.0,0.0,person137,71.0,50.0,-21.0,21.0,1.29,0.0,21.0,0.0,3.9570559077787153,3.739763247282994,1.29,0.0,3.9570559077787153,3.739763247282994,3.855,3.0,4.822421981623365,2.9187446534013204,3.9333333333333336,3.333333333333332,4.90292589179062,2.953199062251679,4.0225,3.5,5.081682050493868,3.1550380465815118,4.143000000000001,3.599999999999997,5.131621448769126,3.0514764529180898,4.118333333333334,3.666666666666667,4.988997106363481,2.841504131378875,4.281428571428571,3.7857142857142865,5.040326760939245,2.6863492246358955,4.24375,3.9375,5.010126522991402,2.66555328385032,4.377222222222223,4.055555555555555,5.206983212315535,2.8240346752277605,4.4635,3.8999999999999995,5.3305660508158565,2.919974142860665
without_windows_original,200,without_windows,0.0,hasAge,True,200,person0,38.0,38.0,0.0,0.0,person174,65.0,77.0,12.0,12.0,0.935,0.0,12.0,0.225,2.727926486284567,2.571739532127141,0.935,0.0,2.727926486284567,2.571739532127141,3.4425,3.0,4.23970153377303,2.464408712350193,3.4733333333333336,3.0,4.227028766675815,2.3984361180559532,3.555,3.25,4.2034503654586395,2.2306059748587104,3.5969999999999995,3.200000000000003,4.428456972330079,2.5832453975415497,3.750833333333333,3.3333333333333335,4.467729613642055,2.445668552315166,3.7578571428571435,3.4285714285714306,4.536909277269645,2.565886885699384,3.824375,3.25,4.567918797997673,2.5255944092381255,3.8427777777777776,3.166666666666668,4.651773281736915,2.6402534601139194,3.780500000000001,3.299999999999997,4.540542520658687,2.5361248780343852
with_windows_removed_15pct,200,with_windows,15.0,hasAge,True,200,person0,38.0,38.0,0.0,0.0,person142,50.0,71.0,21.0,21.0,1.92,0.0,21.0,0.05,4.564171150543906,4.13874935592333,1.92,0.0,4.564171150543906,4.13874935592333,4.445,3.5,5.674325054499487,3.52620840686469,4.175,3.3333333333333286,5.428324653400307,3.489305268428288,4.03,3.375,5.144128110778395,3.2558953102575,4.154,3.3000000000000007,5.369759359402379,3.4798896765276943,4.24,3.6666666666666714,5.236972616762607,3.21553321001027,4.1814285714285715,3.714285714285711,5.1451506411863654,3.14095452427388,4.271875,3.75,5.234296589639967,3.184803088566026,4.309444444444445,3.8333333333333357,5.216426895888259,3.1415294773467077,4.47,3.849999999999998,5.362207225728812,3.177290650758439
without_windows_removed_15pct,200,without_windows,15.0,hasAge,True,200,person0,38.0,38.0,0.0,0.0,person187,56.0,78.0,22.0,22.0,1.995,0.0,22.0,0.315,4.508593135369559,4.053037201009117,1.995,0.0,4.508593135369559,4.053037201009117,4.1375,3.0,5.1510299257995396,3.059681684432263,4.07,3.6666666666666643,4.969983603436279,2.8546767294180153,4.25125,3.875,5.115364916469129,2.852365841185138,4.292,3.9000000000000004,5.152548864299588,2.8835935146599536,4.310833333333333,4.0,5.191906188096685,2.944616144399121,4.26,3.857142857142854,5.198943590774512,3.0507538017843445,4.4575,4.0625,5.4168283057959625,3.142037475506528,4.493888888888889,4.055555555555557,5.400314980255603,3.0625284125919343,4.6015,4.0,5.50642272315068,3.0621613134431267
with_windows_removed_30pct,200,with_windows,30.0,hasAge,True,200,person0,38.0,38.0,0.0,0.0,person140,96.0,64.0,-32.0,32.0,2.905,0.0,32.0,0.635,5.815572147001955,5.073923382596776,2.905,0.0,5.815572147001955,5.073923382596776,4.975,4.5,5.855931580318099,3.641176434772933,4.878333333333334,4.333333333333334,5.693600147130041,3.539231747479584,4.70125,3.5,5.794072819414977,3.9234747620626687,5.082,4.200000000000001,5.990679527902502,3.928721197954403,5.3125,4.5,6.1765798698704515,3.8366978716530817,5.49,4.7857142857142865,6.3933566882030375,3.8342895336788496,5.62125,5.25,6.580049100754622,3.931294164334776,5.805555555555555,5.277777777777779,6.767223753311075,3.997172367395902,5.814500000000001,5.200000000000001,6.828277279300766,4.101138431235991
without_windows_removed_30pct,200,without_windows,30.0,hasAge,True,200,person0,38.0,38.0,0.0,0.0,person96,53.0,78.0,25.0,25.0,3.635,0.0,25.0,-0.055,6.644752718759919,5.556631693651692,3.635,0.0,6.644752718759919,5.556631693651692,5.6375,5.0,7.177389382060063,4.424673141833225,5.363333333333333,5.0,6.776166067720825,4.124553001854054,5.41125,5.0,6.589256593102802,3.7466817395915744,5.164,4.5,6.4394874792156305,3.838224044932171,5.081666666666667,4.666666666666664,6.314791689479449,3.731421127299544,5.103571428571429,4.785714285714285,6.2057776497659445,3.512082299688703,5.1225,4.625,6.275485101071378,3.606922086027555,4.996111111111111,4.611111111111112,6.101632133859063,3.4847318372319482,4.889,4.300000000000001,5.989985864195869,3.4440508753734758
with_windows_removed_45pct,200,with_windows,45.0,hasAge,True,200,person0,38.0,38.0,0.0,0.0,person81,63.0,91.0,28.0,28.0,4.48,2.0,28.0,1.04,7.0588623508637856,5.544665597032392,4.48,2.0,7.0588623508637856,5.544665597032392,5.2525,4.5,6.488214576596539,4.022548724528521,4.861666666666667,4.333333333333329,5.860444536203778,3.683648432371227,4.86,4.25,5.613132931486004,3.5668102947019706,5.059,4.599999999999994,5.602698470447412,3.341639082664968,5.195,4.666666666666668,5.6497034010981215,3.495993958472651,5.438571428571429,4.428571428571431,5.823789967599197,3.774092198241669,5.68375,4.75,6.046173880477209,3.813365603193338,5.635,4.611111111111111,6.002981635025506,3.907856392507987,5.736000000000001,4.900000000000006,6.18664179368881,4.1069011658341195
without_windows_removed_45pct,200,without_windows,45.0,hasAge,True,200,person0,38.0,38.0,0.0,0.0,person186,82.0,48.0,-34.0,34.0,4.2,0.5,34.0,-1.16,7.8474398091217585,6.723542976047209,4.2,0.5,7.8474398091217585,6.723542976047209,5.46,4.0,7.271863585079137,4.866137737714795,5.483333333333333,4.33333333333333,7.040918928910068,4.436127757485916,5.51,4.75,6.82638430013029,4.0534928173244005,5.587000000000001,4.9,6.857675522204239,4.023003078403522,5.7075,5.166666666666668,6.903271978889215,3.9360641763628146,5.631428571428571,4.928571428571431,6.9933006311445975,4.169994541538868,5.478125,5.0,6.882662216052476,4.198727027640424,5.6177777777777775,5.166666666666668,7.035732450310478,4.266083851875186,5.6065,5.049999999999997,6.999079462085204,4.230935098656706
with_windows_removed_60pct,200,with_windows,60.0,hasAge,True,200,person0,38.0,38.0,0.0,0.0,person96,53.0,90.0,37.0,37.0,5.835,3.0,37.0,1.955,8.841597379495717,6.9135200002581785,5.835,3.0,8.841597379495717,6.9135200002581785,5.96,5.0,7.626868335235312,4.993050446752877,5.39,4.333333333333335,6.749124888988881,4.13333198249289,5.2375,3.875,6.986498105552915,4.614658069183175,5.307,3.8999999999999986,7.304170420221464,5.006563631572551,5.594166666666667,4.416666666666668,7.42527820495595,4.885185889821675,5.71,4.571428571428569,7.55520631398829,5.0010338383542114,5.839375,4.75,7.518704455744966,4.8040330873022175,5.892222222222221,4.944444444444445,7.534530473158795,4.742136679715149,5.9879999999999995,5.0,7.6496066834877405,4.834066299185875
without_windows_removed_60pct,200,without_windows,60.0,hasAge,True,200,person0,38.0,38.0,0.0,0.0,person147,51.0,76.0,25.0,25.0,5.76,3.0,25.0,-0.04,8.757962636808786,6.584770002050147,5.76,3.0,8.757962636808786,6.584770002050147,6.0,5.0,7.778495998584816,4.988176976385129,6.145,5.33333333333333,7.784000362380583,4.7771765102814925,5.7125,4.25,7.636354713905249,5.054088722417757,5.815999999999999,4.699999999999999,7.479891703727901,4.706303268199076,6.051666666666668,5.166666666666671,7.614964952903429,4.621653874294354,6.194285714285715,5.071428571428569,7.726046046262826,4.639126338028168,6.12625,5.3125,7.550452580531466,4.406410752083877,6.175,5.777777777777777,7.629432215620646,4.489545555398771,6.351,5.699999999999999,7.776910742931127,4.478008687915335
with_windows_removed_75pct,200,with_windows,75.0,hasAge,True,200,person0,38.0,38.0,0.0,0.0,person187,56.0,95.0,39.0,39.0,8.73,7.0,39.0,2.43,11.881538400976087,8.397002336620256,8.73,7.0,11.881538400976087,8.397002336620256,7.6125,6.5,9.466401509427353,6.092964370823171,7.008333333333333,5.66666666666667,8.427970335462312,5.174718155065672,6.775,6.0,8.012434980803778,4.81087022915907,6.7139999999999995,6.0,7.825890287626696,4.6573229742452,6.535,5.666666666666671,7.599028707512501,4.407609467409414,6.453571428571429,5.785714285714285,7.4810666224446525,4.4579517162320155,6.325,5.625,7.26459229368499,4.259983102096856,6.3183333333333325,5.27777777777778,7.353561913854713,4.362145300173704,6.325,5.599999999999998,7.275440548577069,4.294436625408301
without_windows_removed_75pct,200,without_windows,75.0,hasAge,True,200,person100,4.0,4.0,0.0,0.0,person187,56.0,84.0,28.0,28.0,7.735,6.5,28.0,3.075,9.959181768977695,6.96832568226187,7.735,6.5,9.959181768977695,6.96832568226187,7.43,6.75,8.299488390117094,5.232782247547786,6.911666666666666,6.333333333333329,7.6955204979407785,4.929030390639535,6.94875,5.75,7.818340178916899,4.810497935707616,7.346,6.899999999999999,8.314044785994215,4.970858191075149,7.278333333333335,6.833333333333332,8.17173295149112,4.816136738887354,7.418571428571429,6.714285714285715,8.189215902748913,4.7570987712161,7.685,7.4375,8.263881556471933,4.6467886192898655,7.861111111111111,7.944444444444443,8.371556189669212,4.558104855195824,7.9575,7.900000000000006,8.517595960995912,4.689231087391063
