run,missing_only,n_pairs,mean_query_abs_error,std_query_abs_error,mean_learning_abs_error,std_learning_abs_error,mean_error_difference_query_minus_learning,median_error_difference_query_minus_learning,std_error_difference_query_minus_learning,paired_t_p_value,wilcoxon_p_value,cohen_dz_query_minus_learning,bootstrap_mean_diff_ci_low,bootstrap_mean_diff_ci_high,better_method_by_mean,window_condition,removal_percent,removed_relation,nested_removals
with_windows_removed_15pct,True,30,7.566666666666666,5.980908322973701,3.714131164550781,2.7451260499725456,3.8525355021158854,2.4805755615234375,5.425417598734653,0.0005398641866550788,0.0006665531545877457,0.7100901326036904,1.9933720906575523,5.828050591150918,learned_regression,with_windows,15.0,hasAge,True
without_windows_removed_15pct,True,30,7.433333333333334,5.1640890863688655,3.302258110046387,2.53062597116373,4.131075223286946,3.459371566772461,6.362773960777852,0.001314910010623753,0.005382779985666275,0.6492569512530539,1.8869862270355224,6.362233606974281,learned_regression,without_windows,15.0,hasAge,True
with_windows_removed_30pct,True,60,6.716666666666667,6.003083012062844,3.716706720987956,2.923365717864872,2.999959945678711,2.5508251190185547,6.635120856342773,0.0008863686378803401,0.0010809941395103183,0.4521334291614193,1.4555921570460002,4.725821978251139,learned_regression,with_windows,30.0,hasAge,True
without_windows_removed_30pct,True,60,8.266666666666667,6.548040635044355,3.5452128410339356,3.2176005726547463,4.721453825632731,3.8031578063964844,7.119871567727161,3.306294964112623e-06,7.103021349066688e-06,0.6631374991417066,2.896666615009308,6.550950049559274,learned_regression,without_windows,30.0,hasAge,True
with_windows_removed_45pct,True,90,7.722222222222222,5.7201158505156915,3.8797103669908313,3.0134301040184184,3.842511855231391,3.565105438232422,6.644495792670059,3.815469199474166e-07,1.418475400195594e-06,0.5782999907186781,2.539871277279324,5.2641706932915575,learned_regression,with_windows,45.0,hasAge,True
without_windows_removed_45pct,True,90,7.611111111111111,7.464815514242326,4.738187111748589,3.2559713829827883,2.8729239993625217,1.2535820007324219,8.517735998053576,0.001906432848369161,0.02288218464354366,0.33728727915716405,1.1717799117830066,4.698751401371425,learned_regression,without_windows,45.0,hasAge,True
with_windows_removed_60pct,True,120,8.308333333333334,7.048208346548685,3.33119961420695,2.5275592626603225,4.977133719126384,3.682849884033203,7.350396282420649,1.928774368999121e-11,1.3730927316361085e-10,0.677124542390972,3.708348133166631,6.325539322694136,learned_regression,with_windows,60.0,hasAge,True
without_windows_removed_60pct,True,120,8.341666666666667,6.667991815077338,3.514900048573812,2.8126336155680334,4.826766618092855,3.8466854095458984,7.038361633537972,1.181285241970889e-11,9.340105339109286e-10,0.6857798546600944,3.566160494089127,6.095583185752232,learned_regression,without_windows,60.0,hasAge,True
with_windows_removed_75pct,True,150,10.36,8.347551182128507,3.2504984537760415,2.384133197886234,7.109501546223958,4.876678466796875,8.945808433616964,1.2354349462385059e-17,8.938192124173662e-16,0.7947299116653953,5.734659841219584,8.528271215438842,learned_regression,with_windows,75.0,hasAge,True
without_windows_removed_75pct,True,150,9.226666666666667,6.876813163385809,2.9458372243245443,2.3411618826617864,6.280829442342123,5.156719207763672,7.186371130206287,3.4383347709614476e-20,2.6531745828374313e-17,0.8739918003875524,5.182146970748902,7.468535453160603,learned_regression,without_windows,75.0,hasAge,True
