run,experiment,window_condition,removal_percent,removed_relation,nested_removals,n_missing_people,best_person,best_true_age,best_pred_age,best_error,best_abs_error,worst_person,worst_true_age,worst_pred_age,worst_error,worst_abs_error,mean_top1_abs_error,median_top1_abs_error,max_top1_abs_error,mean_top1_error,std_top1_error,std_top1_abs_error,mean_top1_avg_abs_error,median_top1_avg_abs_error,std_top1_avg_error,std_top1_avg_abs_error,mean_top2_avg_abs_error,median_top2_avg_abs_error,std_top2_avg_error,std_top2_avg_abs_error,mean_top3_avg_abs_error,median_top3_avg_abs_error,std_top3_avg_error,std_top3_avg_abs_error,mean_top4_avg_abs_error,median_top4_avg_abs_error,std_top4_avg_error,std_top4_avg_abs_error,mean_top5_avg_abs_error,median_top5_avg_abs_error,std_top5_avg_error,std_top5_avg_abs_error,mean_top6_avg_abs_error,median_top6_avg_abs_error,std_top6_avg_error,std_top6_avg_abs_error,mean_top7_avg_abs_error,median_top7_avg_abs_error,std_top7_avg_error,std_top7_avg_abs_error,mean_top8_avg_abs_error,median_top8_avg_abs_error,std_top8_avg_error,std_top8_avg_abs_error,mean_top9_avg_abs_error,median_top9_avg_abs_error,std_top9_avg_error,std_top9_avg_abs_error,mean_top10_avg_abs_error,median_top10_avg_abs_error,std_top10_avg_error,std_top10_avg_abs_error
with_windows_removed_15pct,200,with_windows,15.0,hasAge,True,30,person32,7.0,7.0,0.0,0.0,person142,50.0,71.0,21.0,21.0,7.566666666666666,6.0,21.0,0.9666666666666667,9.697078597873347,5.980908322973701,7.566666666666666,6.0,9.697078597873347,5.980908322973701,6.4,4.25,8.07799622360061,5.0418934593238305,5.122222222222224,3.6666666666666714,6.801556804737539,4.71037278245371,4.375,3.125,5.69727828748583,4.14539108424999,4.173333333333334,3.0999999999999996,5.637297795644791,4.1131356721449475,4.283333333333333,4.000000000000003,5.339092316942815,3.712139658325354,4.852380952380953,3.8571428571428577,5.567003842744125,3.7088788485100412,5.1375,4.5,6.086489005949179,4.093512266063678,5.314814814814815,4.16666666666667,6.2763168091714086,4.102360297603362,5.593333333333334,5.100000000000001,6.152427798527339,3.6044927265971776
without_windows_removed_15pct,200,without_windows,15.0,hasAge,True,30,person101,64.0,64.0,0.0,0.0,person96,53.0,36.0,-17.0,17.0,7.433333333333334,6.5,17.0,0.5,9.14160628758652,5.1640890863688655,7.433333333333334,6.5,9.14160628758652,5.1640890863688655,6.233333333333333,6.25,7.142152674620321,3.5079548352903265,5.622222222222222,5.333333333333336,6.694615743186045,3.7526321115993215,4.858333333333333,4.25,5.905560646689198,3.306005072626157,4.853333333333333,4.799999999999999,5.584790511511714,2.779200248810529,4.744444444444444,4.833333333333336,5.668987579700583,3.0997878228381337,4.833333333333333,4.357142857142858,5.683498755574876,3.0929952717954197,4.85,4.4375,5.622901907562408,3.138402295040781,5.011111111111111,3.944444444444443,5.845148285440267,3.2938078054911895,5.103333333333333,4.449999999999996,5.939272179567839,3.117191854453502
with_windows_removed_30pct,200,with_windows,30.0,hasAge,True,60,person101,64.0,64.0,0.0,0.0,person140,96.0,64.0,-32.0,32.0,6.716666666666667,5.0,32.0,1.5833333333333333,8.908749587289988,6.003083012062844,6.716666666666667,5.0,8.908749587289988,6.003083012062844,6.358333333333333,5.0,7.45227281146478,4.445614547007531,5.666666666666667,5.833333333333336,6.589487337970654,3.893110433987726,5.004166666666666,3.5,6.454341759031116,4.43012885440894,5.156666666666667,3.799999999999997,6.438348210808096,4.374981517313663,5.558333333333333,4.333333333333332,6.715533590108418,4.198110170288917,5.569047619047618,4.357142857142858,6.569134508513081,3.8577698052634495,5.752083333333333,5.125,6.752189891159103,3.889256964858528,5.916666666666667,5.277777777777782,6.874336887117264,4.050405625271629,6.093333333333333,5.25,7.164364891166929,4.2812902643576525
without_windows_removed_30pct,200,without_windows,30.0,hasAge,True,60,person72,2.0,2.0,0.0,0.0,person96,53.0,78.0,25.0,25.0,8.266666666666667,6.0,25.0,0.06666666666666667,10.600394406903966,6.548040635044355,8.266666666666667,6.0,10.600394406903966,6.548040635044355,7.833333333333333,7.0,9.649785571810439,5.566749551126919,6.6833333333333345,5.666666666666666,8.257278172152361,4.787155208532915,6.329166666666667,5.375,7.704430222702856,4.448264674659008,6.126666666666666,5.1,7.434748161571358,4.348694199749834,6.016666666666668,5.166666666666664,7.4000156936431205,4.372131828200501,5.992857142857144,5.642857142857142,7.091711562193991,3.8548935240331414,6.214583333333334,6.875,7.404122036307281,4.073353602280195,5.933333333333333,5.777777777777779,7.117242726851586,3.953602006010376,5.8483333333333345,5.45,7.066867668498384,4.01803104098608
with_windows_removed_45pct,200,with_windows,45.0,hasAge,True,90,person101,64.0,64.0,0.0,0.0,person81,63.0,91.0,28.0,28.0,7.722222222222222,6.0,28.0,1.6333333333333333,9.503931770647537,5.7201158505156915,7.722222222222222,6.0,9.503931770647537,5.7201158505156915,6.438888888888889,5.5,7.8548970070435,4.53688242324474,5.5740740740740735,4.833333333333336,6.72927426962717,4.057645725467255,5.394444444444445,4.875,6.298494757062521,3.887638464924118,5.519999999999999,5.100000000000001,6.23198787778538,3.575170303164482,5.562962962962963,5.0,6.146358457784574,3.5965875227568214,5.593650793650794,4.428571428571431,6.170318252179579,3.825229795796514,5.847222222222222,4.5,6.557052387885745,4.16983961585725,5.892592592592593,4.444444444444443,6.53436118619491,4.270583473198202,5.991111111111111,4.950000000000003,6.7071370859806745,4.457026883383249
without_windows_removed_45pct,200,without_windows,45.0,hasAge,True,90,person101,64.0,64.0,0.0,0.0,person186,82.0,48.0,-34.0,34.0,7.611111111111111,4.0,34.0,-2.1444444444444444,10.471535640805229,7.464815514242326,7.611111111111111,4.0,10.471535640805229,7.464815514242326,6.822222222222222,5.75,8.600358555949072,5.558832990810692,6.662962962962964,5.333333333333334,8.34334396642618,5.076074068723992,6.458333333333333,5.875,7.924074495909859,4.617268819152141,6.4733333333333345,6.0,7.955729254131496,4.748359858763298,6.457407407407407,5.66666666666667,7.803503246705822,4.522351282026517,6.3952380952380965,5.42857142857143,7.928022947815679,4.761259720891809,6.169444444444444,5.75,7.70366976043092,4.654657836568719,6.232098765432099,5.777777777777779,7.737294320452332,4.6045640220749755,6.047777777777777,5.5,7.643166147876477,4.700519401799299
with_windows_removed_60pct,200,with_windows,60.0,hasAge,True,120,person121,90.0,90.0,0.0,0.0,person96,53.0,90.0,37.0,37.0,8.308333333333334,7.0,37.0,3.191666666666667,10.44094705235785,7.048208346548685,8.308333333333334,7.0,10.44094705235785,7.048208346548685,6.833333333333333,5.5,8.661402193362346,5.794931621080373,6.194444444444444,5.0,7.642923898239842,4.588497642271831,5.872916666666667,4.25,7.867034175322126,5.217536267136008,6.093333333333334,4.799999999999997,8.30462798314141,5.616179109244545,6.283333333333333,4.916666666666666,8.2760759378299,5.365606137709266,6.2476190476190485,4.857142857142859,8.257885404524332,5.425813835943225,6.335416666666666,5.0625,8.13467803263767,5.150007733670187,6.298148148148147,5.277777777777775,8.014130585043656,4.988959349636934,6.355833333333334,5.6,8.119495118564464,5.122594468590683
without_windows_removed_60pct,200,without_windows,60.0,hasAge,True,120,person129,52.0,52.0,0.0,0.0,person147,51.0,76.0,25.0,25.0,8.341666666666667,6.0,25.0,-0.325,10.701576495815853,6.667991815077338,8.341666666666667,6.0,10.701576495815853,6.667991815077338,7.15,6.0,9.140051762352739,5.696305746680375,7.408333333333332,6.333333333333333,9.017670777056914,5.1133669868404885,6.89375,5.5,8.852993042995557,5.5243599671109855,6.788333333333332,5.300000000000001,8.52671514409033,5.193033202044352,7.054166666666666,5.916666666666668,8.627092974651271,5.0056533166061765,7.089285714285714,5.928571428571429,8.654499333578721,5.0456690703701454,6.877083333333333,5.875,8.340655046855987,4.7340228679217,6.884259259259259,6.222222222222221,8.394883751996254,4.838364592862421,6.9608333333333325,6.15,8.46697485323218,4.815735688769643
with_windows_removed_75pct,200,with_windows,75.0,hasAge,True,150,person129,52.0,52.0,0.0,0.0,person187,56.0,95.0,39.0,39.0,10.36,9.0,39.0,2.6266666666666665,13.06850646774677,8.347551182128507,10.36,9.0,13.06850646774677,8.347551182128507,8.206666666666667,7.5,10.128269074817354,6.4379294127104645,7.482222222222222,6.0,8.959144709453666,5.437535831922418,7.0216666666666665,6.125,8.367218746547309,5.079563001954768,6.973333333333334,6.199999999999999,8.138640290110631,4.841025276433634,6.826666666666667,6.083333333333336,7.926272558343699,4.546916746715954,6.58,6.428571428571431,7.688261739798317,4.655248748692578,6.5183333333333335,5.625,7.519423952483409,4.382900026217918,6.317777777777779,5.055555555555555,7.500544755167557,4.539129915460391,6.406666666666666,5.75,7.4680976976387035,4.406031050694809
without_windows_removed_75pct,200,without_windows,75.0,hasAge,True,150,person129,52.0,52.0,0.0,0.0,person187,56.0,84.0,28.0,28.0,9.226666666666667,8.0,28.0,4.1066666666666665,10.771044122966048,6.876813163385809,9.226666666666667,8.0,10.771044122966048,6.876813163385809,8.106666666666667,7.0,8.7490645073582,5.476792607968053,7.424444444444445,6.666666666666671,7.9554217220109384,5.187879045266686,7.2683333333333335,5.75,8.03388882713726,5.015420571826878,7.592000000000001,7.300000000000001,8.629425130103549,5.321446036507661,7.53888888888889,7.0,8.462674477313504,5.039901068869511,7.6952380952380945,6.857142857142858,8.42970053809394,4.926738071522034,8.0125,7.6875,8.535332089370566,4.764499021179329,8.103703703703705,8.111111111111114,8.582547463957479,4.627542159264688,8.191333333333333,8.200000000000003,8.714506124975594,4.683369644863093
