run,missing_only,n_pairs,mean_query_abs_error,std_query_abs_error,mean_learning_abs_error,std_learning_abs_error,mean_error_difference_query_minus_learning,median_error_difference_query_minus_learning,std_error_difference_query_minus_learning,paired_t_p_value,wilcoxon_p_value,cohen_dz_query_minus_learning,bootstrap_mean_diff_ci_low,bootstrap_mean_diff_ci_high,better_method_by_mean,window_condition,removal_percent,removed_relation,nested_removals
with_windows_original,False,200,1.29,3.739763247282994,0.4708947944641113,0.517946006627888,0.8191052055358887,-0.2887763977050781,3.7374604024964255,0.0022199118524491935,5.909344757317246e-07,0.21916090535401253,0.3277624990940094,1.3620164489746094,learned_regression,with_windows,0.0,hasAge,True
without_windows_original,False,200,0.935,2.571739532127141,0.4598266887664795,0.4157057503241614,0.4751733112335205,-0.2698526382446289,2.5896206982053944,0.010164553277780453,8.090963054575575e-08,0.18349147099527563,0.13329059076309205,0.8551659481525418,learned_regression,without_windows,0.0,hasAge,True
with_windows_removed_15pct,False,200,1.92,4.13874935592333,0.8347730064392089,1.6191157454334526,1.085226993560791,-0.17295074462890625,3.464834577835521,1.557574619244752e-05,0.012372123335652472,0.3132117765456876,0.6076913876533508,1.5968711953163144,learned_regression,with_windows,15.0,hasAge,True
without_windows_removed_15pct,False,200,1.995,4.053037201009117,0.7278626632690429,1.463497261005927,1.267137336730957,-0.18982505798339838,3.8319528456493326,5.37868129801341e-06,0.025635374995546398,0.3306766517676806,0.7557235209941864,1.830685007333755,learned_regression,without_windows,15.0,hasAge,True
with_windows_removed_30pct,False,200,2.905,5.073923382596776,1.312757215499878,2.2570725316886007,1.5922427845001221,-0.1444263458251953,4.723375665213754,3.6000310493489968e-06,0.9853974910136419,0.3370984857771345,0.9725572612285615,2.270562202692032,learned_regression,with_windows,30.0,hasAge,True
without_windows_removed_30pct,False,200,3.635,5.556631693651692,1.239224739074707,2.319127634384639,2.395775260925293,-0.08903884887695306,5.141313319528701,3.852977811305496e-10,0.00031733448529802264,0.4659850726905147,1.7047079977989197,3.143859936237335,learned_regression,without_windows,30.0,hasAge,True
with_windows_removed_45pct,False,200,4.48,5.544665597032392,1.8337837505340575,2.7409626903821325,2.6462162494659425,-0.032987594604492146,5.3315745020128595,3.43546781345363e-11,4.5701250224618256e-05,0.4963292266603236,1.9236177668571472,3.4091111648082726,learned_regression,with_windows,45.0,hasAge,True
without_windows_removed_45pct,False,200,4.2,6.723542976047209,2.2025892448425295,3.1677707532561814,1.9974107551574707,-0.06812667846679685,6.6065946173834025,2.95548780782465e-05,0.5787732322225412,0.3023359038712386,1.1146308035850525,2.928614896297454,learned_regression,without_windows,45.0,hasAge,True
with_windows_removed_60pct,False,200,5.835,6.9135200002581785,2.021500005722046,2.5311593798677956,3.813499994277954,0.9240322113037109,6.573376152114571,2.8427874216836434e-14,4.0168331801851253e-10,0.5801432788919587,2.938707184791565,4.734979576587676,learned_regression,with_windows,60.0,hasAge,True
without_windows_removed_60pct,False,200,5.76,6.584770002050147,2.134269428253174,2.757734253239104,3.6257305717468262,0.5762205123901367,6.207232101505158,2.0037995279181166e-14,6.999871135976584e-09,0.5841139033398868,2.7993791925907137,4.470190018177031,learned_regression,without_windows,60.0,hasAge,True
with_windows_removed_75pct,False,200,8.73,8.397002336620256,2.4457293128967286,2.491738079386861,6.284270687103271,3.9379577636718746,8.503294268756822,1.1624588297427144e-20,2.8593310418774228e-18,0.7390395402630268,5.13305102801323,7.484050709962844,learned_regression,with_windows,75.0,hasAge,True
without_windows_removed_75pct,False,200,7.735,6.96832568226187,2.21796049118042,2.3877775461624458,5.51703950881958,3.773153305053711,6.846105588118585,1.740263882754836e-23,1.4783825332896924e-19,0.8058653840213043,4.571204771757126,6.474314441204071,learned_regression,without_windows,75.0,hasAge,True
