run,window_condition,removal_percent,removed_relation,nested_removals,n_missing_people,best_person,best_true_age,best_pred_age,best_error,best_abs_error,worst_person,worst_true_age,worst_pred_age,worst_error,worst_abs_error,mean_abs_error,median_abs_error,max_abs_error,mean_error,std_error,std_abs_error
with_windows_removed_15pct,with_windows,15.0,hasAge,True,30,person26,21.0,20.882015228271484,-0.11798477172851562,0.11798477172851562,person96,53.0,63.246604919433594,10.246604919433594,10.246604919433594,3.714131164550781,3.4231109619140625,10.246604919433594,0.5972251892089844,4.630031523325871,2.7451260499725456
without_windows_removed_15pct,without_windows,15.0,hasAge,True,30,person156,68.0,68.10357666015625,0.10357666015625,0.10357666015625,person16,31.0,22.397695541381836,-8.602304458618164,8.602304458618164,3.302258110046387,3.1709060668945312,8.602304458618164,-0.9181114832560221,4.100367369001262,2.53062597116373
with_windows_removed_30pct,with_windows,30.0,hasAge,True,60,person32,7.0,6.937580108642578,-0.062419891357421875,0.062419891357421875,person98,4.0,-8.421756744384766,-12.421756744384766,12.421756744384766,3.716706720987956,2.8023242950439453,12.421756744384766,-0.5165443420410156,4.7246978338596675,2.923365717864872
without_windows_removed_30pct,without_windows,30.0,hasAge,True,60,person75,73.0,72.981201171875,-0.018798828125,0.018798828125,person72,2.0,-13.43221664428711,-15.43221664428711,15.43221664428711,3.5452128410339356,2.7127685546875,15.43221664428711,-0.7618332862854004,4.748082398282829,3.2176005726547463
with_windows_removed_45pct,with_windows,45.0,hasAge,True,90,person68,8.0,8.01608657836914,0.016086578369140625,0.016086578369140625,person180,35.0,50.0980110168457,15.098011016845703,15.098011016845703,3.8797103669908313,3.519275665283203,15.098011016845703,-1.5434676064385309,4.678993401585995,3.0134301040184184
without_windows_removed_45pct,without_windows,45.0,hasAge,True,90,person30,61.0,60.990379333496094,-0.00962066650390625,0.00962066650390625,person72,2.0,-13.635547637939453,-15.635547637939453,15.635547637939453,4.738187111748589,4.091426849365234,15.635547637939453,0.36538988749186196,5.759254183545198,3.255971382982788
with_windows_removed_60pct,with_windows,60.0,hasAge,True,120,person76,77.0,76.96314239501953,-0.03685760498046875,0.03685760498046875,person71,21.0,8.480033874511719,-12.519966125488281,12.519966125488281,3.33119961420695,2.9759674072265625,12.519966125488281,-0.3236677805582682,4.18007855242368,2.5275592626603225
without_windows_removed_60pct,without_windows,60.0,hasAge,True,120,person167,19.0,18.942237854003906,-0.05776214599609375,0.05776214599609375,person121,90.0,78.85586547851562,-11.144134521484375,11.144134521484375,3.514900048573812,2.844310760498047,11.144134521484375,-0.449027411142985,4.490649148350496,2.812633615568033
with_windows_removed_75pct,with_windows,75.0,hasAge,True,150,person186,82.0,81.97218322753906,-0.0278167724609375,0.0278167724609375,person191,90.0,77.36711120605469,-12.632888793945312,12.632888793945312,3.2504984537760415,2.8612747192382812,12.632888793945312,-0.6419883219401041,3.9882110281538985,2.384133197886234
without_windows_removed_75pct,without_windows,75.0,hasAge,True,150,person90,13.0,13.006828308105469,0.00682830810546875,0.00682830810546875,person177,39.0,48.38010025024414,9.38010025024414,9.38010025024414,2.9458372243245443,2.2272300720214844,9.38010025024414,-0.34098838806152343,3.7550211447915762,2.341161882661786
