run,experiment,window_condition,removal_percent,removed_relation,nested_removals,n_people,best_person,best_true_age,best_pred_age,best_error,best_abs_error,worst_person,worst_true_age,worst_pred_age,worst_error,worst_abs_error,mean_top1_abs_error,median_top1_abs_error,max_top1_abs_error,mean_top1_error,std_top1_error,std_top1_abs_error,mean_top1_avg_abs_error,median_top1_avg_abs_error,std_top1_avg_error,std_top1_avg_abs_error,mean_top2_avg_abs_error,median_top2_avg_abs_error,std_top2_avg_error,std_top2_avg_abs_error,mean_top3_avg_abs_error,median_top3_avg_abs_error,std_top3_avg_error,std_top3_avg_abs_error,mean_top4_avg_abs_error,median_top4_avg_abs_error,std_top4_avg_error,std_top4_avg_abs_error,mean_top5_avg_abs_error,median_top5_avg_abs_error,std_top5_avg_error,std_top5_avg_abs_error,mean_top6_avg_abs_error,median_top6_avg_abs_error,std_top6_avg_error,std_top6_avg_abs_error,mean_top7_avg_abs_error,median_top7_avg_abs_error,std_top7_avg_error,std_top7_avg_abs_error,mean_top8_avg_abs_error,median_top8_avg_abs_error,std_top8_avg_error,std_top8_avg_abs_error,mean_top9_avg_abs_error,median_top9_avg_abs_error,std_top9_avg_error,std_top9_avg_abs_error,mean_top10_avg_abs_error,median_top10_avg_abs_error,std_top10_avg_error,std_top10_avg_abs_error
with_windows_original,500,with_windows,0.0,hasAge,True,500,person0,38.0,38.0,0.0,0.0,person28,60.0,78.0,18.0,18.0,1.632,0.0,18.0,-0.044,3.711281614542999,3.332685040497874,1.632,0.0,3.711281614542999,3.332685040497874,3.403,2.5,4.377648067765432,2.765390708660005,3.3093333333333335,3.0,4.1864177963635205,2.584463109777012,3.15,2.75,3.9907810848673058,2.4766949824457885,3.1308000000000002,2.6000000000000014,3.872102347974079,2.32179085741398,3.172,2.666666666666667,3.9558476708441614,2.4126407624582504,3.2631428571428573,3.0,4.02602343114291,2.40300377444445,3.29075,2.875,4.0288415600681375,2.3936017517942254,3.2762222222222226,3.0,4.017402574045277,2.4054134889446663,3.4341999999999997,3.0,4.1326343381850625,2.3905228631239313
without_windows_original,500,without_windows,0.0,hasAge,True,500,person0,38.0,38.0,0.0,0.0,person80,86.0,69.0,-17.0,17.0,1.53,0.0,17.0,-0.434,3.6420011456188996,3.3327638124023307,1.53,0.0,3.6420011456188996,3.3327638124023307,3.254,2.5,4.047327726222192,2.5552970641732333,3.146666666666667,2.3333333333333357,3.945625979891002,2.5642142722699037,3.115,2.5,3.8808744340348724,2.5008565666855564,3.2828000000000004,2.8000000000000007,4.041822938394341,2.5534338073302063,3.2686666666666664,2.833333333333332,3.973989468494162,2.399699472759781,3.2468571428571424,2.9285714285714306,3.951884345701987,2.35396777542922,3.274,2.875,3.9640780870412127,2.330068655615057,3.2424444444444442,2.8888888888888857,3.9756306270456867,2.3771970960147937,3.269,2.9000000000000057,4.009925856015481,2.4196297684631145
with_windows_removed_15pct,500,with_windows,15.0,hasAge,True,500,person1,95.0,95.0,0.0,0.0,person211,69.0,96.0,27.0,27.0,2.698,0.0,27.0,0.526,5.578850342345147,4.909889002822781,2.698,0.0,5.578850342345147,4.909889002822781,3.978,3.0,5.397811847914948,3.6826131046523356,4.066666666666666,3.3333333333333286,5.338785456373693,3.5440417004120635,4.1595,3.25,5.366119195511863,3.4857187523437516,4.2524,3.6999999999999993,5.212537298684812,3.154062532817294,4.187666666666666,3.6666666666666714,5.081612486190629,3.061139972893279,4.171428571428573,3.571428571428572,5.044693302282053,3.021090642668636,4.25675,3.6875,5.07712572216775,2.959212236664219,4.437111111111111,4.222222222222221,5.210016345311654,2.9664778185522622,4.52,4.300000000000001,5.279839206272118,2.9928237482310838
without_windows_removed_15pct,500,without_windows,15.0,hasAge,True,500,person10,3.0,3.0,0.0,0.0,person323,29.0,7.0,-22.0,22.0,2.428,0.0,22.0,-0.712,4.961682434937805,4.383977019672666,2.428,0.0,4.961682434937805,4.383977019672666,3.911,3.0,5.008631727684431,3.1929561440576903,3.890666666666667,3.0,4.920495672840695,3.0839298020262116,3.8895,3.5,4.760978532105174,2.809216642819237,3.7752000000000003,3.200000000000003,4.66575637652999,2.7941581199349472,3.824666666666667,3.1666666666666714,4.6494543247247915,2.7040697698050025,3.7014285714285715,3.0714285714285694,4.603023964571607,2.798561696408818,3.66225,3.25,4.500278402376657,2.6739027093179355,3.686666666666667,3.3333333333333313,4.5285210288925395,2.7044647332799534,3.7759999999999994,3.3000000000000003,4.576407461153454,2.632528140175834
with_windows_removed_30pct,500,with_windows,30.0,hasAge,True,500,person0,38.0,38.0,0.0,0.0,person157,76.0,47.0,-29.0,29.0,3.53,1.0,29.0,0.854,6.146563632549325,5.101485107358562,3.53,1.0,6.146563632549325,5.101485107358562,4.402,3.5,5.727933173219966,3.7888132987024905,4.335333333333334,3.6666666666666714,5.505723383894247,3.4960607663145,4.169,3.75,5.16688856807943,3.1963059527346522,4.062,3.5999999999999996,5.024710386573328,3.099511242096044,4.167666666666666,3.6666666666666656,5.052648872856283,3.044911561487296,4.202285714285715,3.5714285714285694,5.143762970136267,3.1657384288028596,4.3105,3.75,5.245139223218187,3.165389649516554,4.253333333333334,3.666666666666665,5.2111288722606295,3.1857431860855394,4.3386000000000005,3.700000000000001,5.2953752688999245,3.2012851314723547
without_windows_removed_30pct,500,without_windows,30.0,hasAge,True,500,person0,38.0,38.0,0.0,0.0,person226,97.0,49.0,-48.0,48.0,3.452,0.0,48.0,-1.056,6.590275218449516,5.710421510506498,3.452,0.0,6.590275218449516,5.710421510506498,4.656,3.5,6.282266928069121,4.444566609320798,4.564,3.3333333333333326,6.154617306049452,4.355617334003999,4.473,3.375,6.015373590964884,4.264492089988108,4.4144,3.3999999999999986,5.79551614394693,3.9756514244205303,4.329333333333334,3.1666666666666714,5.601089175818083,3.7388274298219315,4.204,3.285714285714292,5.434769646976842,3.6151427645798635,4.198,3.125,5.499244254872618,3.6761834352081233,4.163555555555557,3.222222222222225,5.415133584551614,3.570964883288452,4.2156,3.3999999999999995,5.453693201774203,3.5770192582018754
with_windows_removed_45pct,500,with_windows,45.0,hasAge,True,500,person101,64.0,64.0,0.0,0.0,person103,51.0,16.0,-35.0,35.0,4.982,2.0,35.0,-0.742,8.238639837542692,6.599756781818427,4.982,2.0,8.238639837542692,6.599756781818427,5.591,4.5,7.131066906884336,4.488263363042777,5.1033333333333335,4.333333333333336,6.321367982019872,3.7830544245802824,5.129,4.5,6.2991036993233935,3.7019613769017288,4.9496,4.399999999999999,6.0882383274526735,3.604164235946991,4.7906666666666675,4.166666666666668,5.898526285080255,3.482942114296918,4.709428571428571,4.142857142857139,5.77122597740185,3.3661073336501173,4.65875,4.125,5.695152474773774,3.2962285164054888,4.693555555555556,4.111111111111111,5.691293342591629,3.2437823145517215,4.7722,4.35,5.791706083592073,3.3069319251407387
without_windows_removed_45pct,500,without_windows,45.0,hasAge,True,500,person0,38.0,38.0,0.0,0.0,person495,36.0,11.0,-25.0,25.0,4.438,2.0,25.0,0.026,7.189485475526438,5.65279259554572,4.438,2.0,7.189485475526438,5.65279259554572,4.737,4.0,6.106730328958472,3.8520133714757607,4.693333333333334,3.6666666666666714,5.968613670085365,3.6842899491357963,4.5655,4.0,5.684562185823019,3.3850408791485833,4.288,3.5999999999999943,5.388085185288727,3.262702323673708,4.314666666666667,3.6666666666666696,5.424667797025254,3.29180652569793,4.346571428571429,3.714285714285714,5.446247316447236,3.2974141759631324,4.34925,3.75,5.422626018209879,3.2526281477037102,4.262666666666666,3.7777777777777786,5.344403933609115,3.2372928687238205,4.2418000000000005,3.9000000000000004,5.295107201989505,3.1877572606309617
with_windows_removed_60pct,500,with_windows,60.0,hasAge,True,500,person100,4.0,4.0,0.0,0.0,person204,61.0,100.0,39.0,39.0,5.16,3.0,39.0,0.772,7.744156501507423,5.821527321993898,5.16,3.0,7.744156501507423,5.821527321993898,5.163,4.0,6.612902536702007,4.328672523028653,4.814,4.0,6.017360581504719,3.8418791211429415,4.8855,4.0,5.942400777800839,3.70843899634053,4.7612000000000005,4.1,5.8233786996002515,3.702029795830719,4.697333333333333,4.0,5.740384542524898,3.618751357781515,4.817714285714286,4.142857142857146,5.868585695507802,3.643402517794388,4.9485,4.25,5.912859635416376,3.5497516425021756,4.952,4.277777777777775,5.88652309603659,3.5215779656875186,4.9403999999999995,4.5,5.873900480405453,3.5151672280679
without_windows_removed_60pct,500,without_windows,60.0,hasAge,True,500,person100,4.0,4.0,0.0,0.0,person261,99.0,73.0,-26.0,26.0,5.082,3.0,26.0,-0.266,7.4856739595883095,5.497975214833716,5.082,3.0,7.4856739595883095,5.497975214833716,4.611,4.0,5.892688567802836,3.7368579334019185,4.416666666666667,3.6666666666666714,5.540252693779678,3.3682787465618387,4.2965,3.5,5.38629214173091,3.2587500139327368,4.1508,3.3999999999999995,5.188768678675279,3.134560623213595,4.288666666666666,3.583333333333332,5.336077700730589,3.186775515703308,4.304,3.7857142857142847,5.336328845356651,3.1631298898032756,4.2405,3.6875,5.286565193307103,3.1570903041213048,4.279333333333333,3.6111111111111116,5.360063327867046,3.2308329499922825,4.4026000000000005,3.75,5.447805356876549,3.213076557121515
