run,missing_only,n_pairs,mean_query_abs_error,std_query_abs_error,mean_learning_abs_error,std_learning_abs_error,mean_error_difference_query_minus_learning,median_error_difference_query_minus_learning,std_error_difference_query_minus_learning,paired_t_p_value,wilcoxon_p_value,cohen_dz_query_minus_learning,bootstrap_mean_diff_ci_low,bootstrap_mean_diff_ci_high,better_method_by_mean,window_condition,removal_percent,removed_relation,nested_removals
with_windows_removed_15pct,True,75,5.36,5.743715719834181,1.8625864919026693,1.2637225532277452,3.4974135080973308,1.63909912109375,5.605647249314602,7.635247076586956e-07,3.2845923825530316e-06,0.6239089533371828,2.290761760075887,4.826930939356486,learned_regression,with_windows,15.0,hasAge,True
without_windows_removed_15pct,True,75,6.1066666666666665,5.298070360947422,2.255029856363932,1.805396193101571,3.8516368103027343,2.5260696411132812,5.621648486988062,8.8457421654886e-08,1.0649838340966469e-06,0.685143658344662,2.653045641581217,5.118531113942464,learned_regression,without_windows,15.0,hasAge,True
with_windows_removed_30pct,True,150,6.74,5.750319512570088,3.131607666015625,2.3183908219815526,3.608392333984375,2.1879730224609375,6.174539253141502,3.4782489188379196e-11,1.8924321656058e-09,0.584398638675507,2.6494964090983073,4.621782795270284,learned_regression,with_windows,30.0,hasAge,True
without_windows_removed_30pct,True,150,6.226666666666667,5.648717460498964,2.6543520991007488,2.1053493073441216,3.572314567565918,2.3385581970214844,6.15630270294003,4.5742826937364526e-11,2.743723428892515e-10,0.5802694799038891,2.5841846313476564,4.534003155708312,learned_regression,without_windows,30.0,hasAge,True
with_windows_removed_45pct,True,225,7.942222222222222,6.98475664549778,3.145011910332574,2.3873216993922046,4.797210311889648,3.038585662841797,7.625199006238747,5.162877226974706e-18,1.9409576582195286e-15,0.6291259163157172,3.8392438091701933,5.786229991488986,learned_regression,with_windows,45.0,hasAge,True
without_windows_removed_45pct,True,225,6.906666666666666,5.792174523811045,3.6735165150960287,2.611822986530434,3.233150151570638,2.3319740295410156,6.528971833369742,2.2933554806003173e-12,4.679126228997204e-10,0.49520050539135807,2.387202196333144,4.1131561088562005,learned_regression,without_windows,45.0,hasAge,True
with_windows_removed_60pct,True,300,6.783333333333333,5.903039483126756,3.109776744842529,2.211682366184241,3.673556588490804,2.52830696105957,6.667563709631924,5.159039408477303e-19,2.360977121587666e-16,0.5509593531418389,2.922408182621002,4.394208885510762,learned_regression,with_windows,60.0,hasAge,True
without_windows_removed_60pct,True,300,6.733333333333333,5.289184606492834,2.792647825876872,2.042484010389922,3.9406855074564615,3.260770797729492,5.72941574256038,4.874585416936415e-27,1.327807417095354e-23,0.6877988410202949,3.2837940011024473,4.596723986307779,learned_regression,without_windows,60.0,hasAge,True
with_windows_removed_75pct,True,375,10.133333333333333,8.184590538422794,2.306538045247396,1.7505545923758832,7.826795288085938,5.845314025878906,8.298864453884288,9.989631897295205e-54,6.961780358393184e-51,0.9431164144900092,7.020246078364054,8.67579549954732,learned_regression,with_windows,75.0,hasAge,True
without_windows_removed_75pct,True,375,9.050666666666666,7.781446007059634,2.380414596557617,1.8958237895156553,6.67025207010905,4.761096954345703,8.31882847437663,2.57857188517468e-42,4.487810738651956e-38,0.8018258929913666,5.884149000930787,7.535072446568806,learned_regression,without_windows,75.0,hasAge,True
