run,window_condition,removal_percent,removed_relation,nested_removals,n_people,best_person,best_true_age,best_pred_age,best_error,best_abs_error,worst_person,worst_true_age,worst_pred_age,worst_error,worst_abs_error,mean_abs_error,median_abs_error,max_abs_error,mean_error,std_error,std_abs_error
with_windows_original,with_windows,0.0,hasAge,True,500,person124,24.0,24.001628875732422,0.001628875732421875,0.001628875732421875,person6,7.0,3.3260879516601562,-3.6739120483398438,3.6739120483398438,0.9285964164733886,0.8149166107177734,3.6739120483398438,5.37872314453125e-07,1.1792334174703636,0.7256528849974728
without_windows_original,without_windows,0.0,hasAge,True,500,person280,89.0,89.00089263916016,0.00089263916015625,0.00089263916015625,person431,76.0,72.00652313232422,-3.9934768676757812,3.9934768676757812,0.8650030975341797,0.7129249572753906,3.9934768676757812,6.7901611328125e-07,1.1020017044984394,0.6816728968775576
with_windows_removed_15pct,with_windows,15.0,hasAge,True,500,person289,59.0,58.99611282348633,-0.003887176513671875,0.003887176513671875,person20,62.0,55.434139251708984,-6.565860748291016,6.565860748291016,0.8711304244995117,0.6768531799316406,6.565860748291016,-0.10432743072509766,1.1791100946084372,0.8005108653736472
without_windows_removed_15pct,without_windows,15.0,hasAge,True,500,person326,56.0,56.00016784667969,0.0001678466796875,0.0001678466796875,person200,65.0,57.250389099121094,-7.749610900878906,7.749610900878906,1.0429124870300293,0.7809906005859375,7.749610900878906,0.06378620529174804,1.471297198821319,1.0387233187973242
with_windows_removed_30pct,with_windows,30.0,hasAge,True,500,person57,20.0,19.99849510192871,-0.0015048980712890625,0.0015048980712890625,person79,12.0,23.595111846923828,11.595111846923828,11.595111846923828,1.3549639625549317,0.6927108764648438,11.595111846923828,0.18681317520141602,2.2202835860412033,1.7677731048258605
without_windows_removed_30pct,without_windows,30.0,hasAge,True,500,person88,89.0,88.9991455078125,-0.0008544921875,0.0008544921875,person301,54.0,62.673423767089844,8.673423767089844,8.673423767089844,1.2229753723144532,0.6857376098632812,8.673423767089844,0.04623333740234375,1.962940066252428,1.5351252116104457
with_windows_removed_45pct,with_windows,45.0,hasAge,True,500,person485,90.0,89.99827575683594,-0.0017242431640625,0.0017242431640625,person9,71.0,83.55392456054688,12.553924560546875,12.553924560546875,1.6026539039611816,0.5965003967285156,12.553924560546875,-0.15072125625610353,2.6638511863777508,2.131951860515694
without_windows_removed_45pct,without_windows,45.0,hasAge,True,500,person194,35.0,35.00065612792969,0.0006561279296875,0.0006561279296875,person470,2.0,-10.874164581298828,-12.874164581298828,12.874164581298828,1.8111840324401856,0.5609855651855469,12.874164581298828,0.1994458656311035,3.0300918956089338,2.43605290243896
with_windows_removed_60pct,with_windows,60.0,hasAge,True,500,person440,9.0,9.00051498413086,0.000514984130859375,0.000514984130859375,person316,41.0,51.64780044555664,10.64780044555664,10.64780044555664,1.8963574028015138,0.9278039932250977,10.64780044555664,0.11927048873901368,2.9554043066113502,2.268323261236086
without_windows_removed_60pct,without_windows,60.0,hasAge,True,500,person46,32.0,32.000083923339844,8.392333984375e-05,8.392333984375e-05,person376,85.0,74.87161254882812,-10.128387451171875,10.128387451171875,1.6981554565429688,0.7308540344238281,10.128387451171875,-0.2934285659790039,2.6653424592304273,2.0738399932269127
with_windows_removed_75pct,with_windows,75.0,hasAge,True,500,person314,84.0,83.99983215332031,-0.0001678466796875,0.0001678466796875,person334,6.0,14.813983917236328,8.813983917236328,8.813983917236328,1.7356008644104004,1.2463665008544922,8.813983917236328,-0.013352077484130859,2.5089654513850186,1.8101765706239341
without_windows_removed_75pct,without_windows,75.0,hasAge,True,500,person131,23.0,23.000045776367188,4.57763671875e-05,4.57763671875e-05,person139,97.0,86.80158996582031,-10.198410034179688,10.198410034179688,1.7899478797912598,1.256490707397461,10.198410034179688,-0.09105720138549804,2.635136262899813,1.9344035446368044
