person,candidate_v,candidate_v_num,distance,true_v,true_v_num,exists_in_run,run_v,run_v_num,is_ground_truth,ground_truth_missing_in_run,absolute_error,signed_error,distance_rank_for_person
person0,v95,95,3.3756013,v86,86,False,,,False,True,9,9,1
person0,v81,81,3.4867008,v86,86,False,,,False,True,5,-5,2
person0,v83,83,3.4911692,v86,86,False,,,False,True,3,-3,3
person0,v85,85,3.5117447,v86,86,False,,,False,True,1,-1,4
person0,v80,80,3.559102,v86,86,False,,,False,True,6,-6,5
person0,v75,75,3.5679257,v86,86,False,,,False,True,11,-11,6
person0,v86,86,3.5885556,v86,86,False,,,True,True,0,0,7
person0,v91,91,3.5962846,v86,86,False,,,False,True,5,5,8
person0,v84,84,3.615242,v86,86,False,,,False,True,2,-2,9
person0,v77,77,3.6270735,v86,86,False,,,False,True,9,-9,10
person0,v92,92,3.6368835,v86,86,False,,,False,True,6,6,11
person0,v66,66,3.6464539,v86,86,False,,,False,True,20,-20,12
person0,v89,89,3.655126,v86,86,False,,,False,True,3,3,13
person0,v94,94,3.6703947,v86,86,False,,,False,True,8,8,14
person0,v87,87,3.6718018,v86,86,False,,,False,True,1,1,15
person0,v62,62,3.6782892,v86,86,False,,,False,True,24,-24,16
person0,v98,98,3.6861699,v86,86,False,,,False,True,12,12,17
person0,v88,88,3.7316635,v86,86,False,,,False,True,2,2,18
person0,v78,78,3.7348275,v86,86,False,,,False,True,8,-8,19
person0,v64,64,3.7438219,v86,86,False,,,False,True,22,-22,20
person0,v60,60,3.7833629,v86,86,False,,,False,True,26,-26,21
person0,v68,68,3.794431,v86,86,False,,,False,True,18,-18,22
person0,v96,96,3.804987,v86,86,False,,,False,True,10,10,23
person0,v61,61,3.812826,v86,86,False,,,False,True,25,-25,24
person0,v59,59,3.8211474,v86,86,False,,,False,True,27,-27,25
person0,v57,57,3.8425713,v86,86,False,,,False,True,29,-29,26
person0,v97,97,3.8481665,v86,86,False,,,False,True,11,11,27
