person,candidate_v,candidate_v_num,distance,true_v,true_v_num,exists_in_run,run_v,run_v_num,is_ground_truth,ground_truth_missing_in_run,absolute_error,signed_error,distance_rank_for_person
person0,v55,55,1.9963062,v38,38,False,,,False,True,17,17,1
person0,v20,20,2.0287094,v38,38,False,,,False,True,18,-18,2
person0,v21,21,2.0436337,v38,38,False,,,False,True,17,-17,3
person0,v29,29,2.0727668,v38,38,False,,,False,True,9,-9,4
person0,v19,19,2.100287,v38,38,False,,,False,True,19,-19,5
person0,v16,16,2.1072974,v38,38,False,,,False,True,22,-22,6
person0,v37,37,2.1095772,v38,38,False,,,False,True,1,-1,7
person0,v69,69,2.1252098,v38,38,False,,,False,True,31,31,8
person0,v6,6,2.1261485,v38,38,False,,,False,True,32,-32,9
person0,v22,22,2.1333869,v38,38,False,,,False,True,16,-16,10
person0,v27,27,2.1437836,v38,38,False,,,False,True,11,-11,11
person0,v71,71,2.1665266,v38,38,False,,,False,True,33,33,12
person0,v79,79,2.2008617,v38,38,False,,,False,True,41,41,13
person0,v52,52,2.217006,v38,38,False,,,False,True,14,14,14
person0,v51,51,2.2176986,v38,38,False,,,False,True,13,13,15
person0,v31,31,2.2210748,v38,38,False,,,False,True,7,-7,16
person0,v12,12,2.2239676,v38,38,False,,,False,True,26,-26,17
person0,v10,10,2.2378998,v38,38,False,,,False,True,28,-28,18
person0,v67,67,2.238192,v38,38,False,,,False,True,29,29,19
person0,v7,7,2.2554696,v38,38,False,,,False,True,31,-31,20
person0,v61,61,2.2576127,v38,38,False,,,False,True,23,23,21
person0,v32,32,2.2658594,v38,38,False,,,False,True,6,-6,22
person0,v64,64,2.2761388,v38,38,False,,,False,True,26,26,23
person0,v8,8,2.2775242,v38,38,False,,,False,True,30,-30,24
person0,v17,17,2.2798338,v38,38,False,,,False,True,21,-21,25
person0,v65,65,2.2813466,v38,38,False,,,False,True,27,27,26
person0,v81,81,2.2941463,v38,38,False,,,False,True,43,43,27
person0,v40,40,2.2950606,v38,38,False,,,False,True,2,2,28
person0,v39,39,2.2958379,v38,38,False,,,False,True,1,1,29
person0,v46,46,2.2969396,v38,38,False,,,False,True,8,8,30
person0,v53,53,2.3009286,v38,38,False,,,False,True,15,15,31
person0,v45,45,2.3021321,v38,38,False,,,False,True,7,7,32
person0,v33,33,2.305626,v38,38,False,,,False,True,5,-5,33
person0,v95,95,2.30758,v38,38,False,,,False,True,57,57,34
person0,v44,44,2.3079898,v38,38,False,,,False,True,6,6,35
person0,v80,80,2.3144755,v38,38,False,,,False,True,42,42,36
person0,v35,35,2.3157954,v38,38,False,,,False,True,3,-3,37
person0,v77,77,2.3210576,v38,38,False,,,False,True,39,39,38
person0,v5,5,2.3228893,v38,38,False,,,False,True,33,-33,39
person0,v63,63,2.3261983,v38,38,False,,,False,True,25,25,40
person0,v26,26,2.3304205,v38,38,False,,,False,True,12,-12,41
person0,v36,36,2.3322315,v38,38,False,,,False,True,2,-2,42
person0,v82,82,2.3346956,v38,38,False,,,False,True,44,44,43
person0,v47,47,2.335865,v38,38,False,,,False,True,9,9,44
person0,v15,15,2.3387613,v38,38,False,,,False,True,23,-23,45
person0,v28,28,2.3457882,v38,38,False,,,False,True,10,-10,46
person0,v24,24,2.355796,v38,38,False,,,False,True,14,-14,47
person0,v25,25,2.3575602,v38,38,False,,,False,True,13,-13,48
person0,v89,89,2.3601973,v38,38,False,,,False,True,51,51,49
person0,v18,18,2.3653772,v38,38,False,,,False,True,20,-20,50
person0,v58,58,2.3821945,v38,38,False,,,False,True,20,20,51
person0,v34,34,2.3836927,v38,38,False,,,False,True,4,-4,52
person0,v30,30,2.3843744,v38,38,False,,,False,True,8,-8,53
person0,v42,42,2.3922555,v38,38,False,,,False,True,4,4,54
person0,v50,50,2.3933527,v38,38,False,,,False,True,12,12,55
person0,v87,87,2.39725,v38,38,False,,,False,True,49,49,56
person0,v56,56,2.4002361,v38,38,False,,,False,True,18,18,57
person0,v90,90,2.4009578,v38,38,False,,,False,True,52,52,58
person0,v49,49,2.4068382,v38,38,False,,,False,True,11,11,59
person0,v83,83,2.411168,v38,38,False,,,False,True,45,45,60
person0,v41,41,2.4123013,v38,38,False,,,False,True,3,3,61
person0,v68,68,2.4139085,v38,38,False,,,False,True,30,30,62
person0,v13,13,2.4142962,v38,38,False,,,False,True,25,-25,63
person0,v75,75,2.4205444,v38,38,False,,,False,True,37,37,64
person0,v98,98,2.421256,v38,38,False,,,False,True,60,60,65
person0,v4,4,2.4259274,v38,38,False,,,False,True,34,-34,66
person0,v76,76,2.4326127,v38,38,False,,,False,True,38,38,67
person0,v48,48,2.4330304,v38,38,False,,,False,True,10,10,68
person0,v23,23,2.4363518,v38,38,False,,,False,True,15,-15,69
person0,v73,73,2.4381185,v38,38,False,,,False,True,35,35,70
person0,v94,94,2.439215,v38,38,False,,,False,True,56,56,71
person0,v62,62,2.4405468,v38,38,False,,,False,True,24,24,72
person0,v2,2,2.4423552,v38,38,False,,,False,True,36,-36,73
