run,window_condition,removal_percent,tsv_path,sha256
with_windows_original,with_windows,0.0,/home/w075dac/kg_embeddings/KGE-Neurosymbolic-AI/experiment-final/model_comparison_200people_100nodes_shared_run1/shared_kgs/kgs/with_windows_original.tsv,af601158e3370b58735a741eca5c57431bc3ee404ab4b3217e899570be63233a
without_windows_original,without_windows,0.0,/home/w075dac/kg_embeddings/KGE-Neurosymbolic-AI/experiment-final/model_comparison_200people_100nodes_shared_run1/shared_kgs/kgs/without_windows_original.tsv,1f403eab7c5d633a410d80a9aeffb820b8f892305f798f26d6022bda6d4b5b16
with_windows_removed_25pct,with_windows,25.0,/home/w075dac/kg_embeddings/KGE-Neurosymbolic-AI/experiment-final/model_comparison_200people_100nodes_shared_run1/shared_kgs/kgs/with_windows_hasAge_removed_25pct.tsv,9f08f6f64d1933e894df3fee563d8b338c56e4de5a3bb415b7d89635cb2df34f
without_windows_removed_25pct,without_windows,25.0,/home/w075dac/kg_embeddings/KGE-Neurosymbolic-AI/experiment-final/model_comparison_200people_100nodes_shared_run1/shared_kgs/kgs/without_windows_hasAge_removed_25pct.tsv,fa427245af68723dab4210c83a9581133d2a1ca2a901a8f4dff4b44b706011e6
with_windows_removed_50pct,with_windows,50.0,/home/w075dac/kg_embeddings/KGE-Neurosymbolic-AI/experiment-final/model_comparison_200people_100nodes_shared_run1/shared_kgs/kgs/with_windows_hasAge_removed_50pct.tsv,7011c5841f836e4946d4698b5d4ebb5c19247bd35b1115e8cf837addb7e0e943
without_windows_removed_50pct,without_windows,50.0,/home/w075dac/kg_embeddings/KGE-Neurosymbolic-AI/experiment-final/model_comparison_200people_100nodes_shared_run1/shared_kgs/kgs/without_windows_hasAge_removed_50pct.tsv,4918f437b066abc117314abda4f99c96aeb9a5ce498494a7bf6a8d53a2a2e4f4
with_windows_removed_75pct,with_windows,75.0,/home/w075dac/kg_embeddings/KGE-Neurosymbolic-AI/experiment-final/model_comparison_200people_100nodes_shared_run1/shared_kgs/kgs/with_windows_hasAge_removed_75pct.tsv,ef19f69e6ccdff53c6652d3c5e8f2b7d4ee009a33107f57a4959bd7b5c9a1566
without_windows_removed_75pct,without_windows,75.0,/home/w075dac/kg_embeddings/KGE-Neurosymbolic-AI/experiment-final/model_comparison_200people_100nodes_shared_run1/shared_kgs/kgs/without_windows_hasAge_removed_75pct.tsv,a63f8465cef33ab992712d9fd3c38e8cc115db6c7166d7aa8b31248041db7c46
with_windows_removed_99pct,with_windows,99.0,/home/w075dac/kg_embeddings/KGE-Neurosymbolic-AI/experiment-final/model_comparison_200people_100nodes_shared_run1/shared_kgs/kgs/with_windows_hasAge_removed_99pct.tsv,c87a7deb25a8b90167b2edd9c1398da7a557b5e2f67bdee305a59b1e216d9899
without_windows_removed_99pct,without_windows,99.0,/home/w075dac/kg_embeddings/KGE-Neurosymbolic-AI/experiment-final/model_comparison_200people_100nodes_shared_run1/shared_kgs/kgs/without_windows_hasAge_removed_99pct.tsv,e4ba8681c0260cfaeb8306668ac23591fe9e8a340de04a4a1e5e518de409fa7a
