person,candidate_v,candidate_v_num,distance,true_v,true_v_num,exists_in_run,run_v,run_v_num,is_ground_truth,ground_truth_missing_in_run,absolute_error,signed_error,distance_rank_for_person
person0,v60,60,1.9870023,v38,38,False,,,False,True,22,22,1
person0,v16,16,2.026969,v38,38,False,,,False,True,22,-22,2
person0,v80,80,2.0545151,v38,38,False,,,False,True,42,42,3
person0,v29,29,2.0572047,v38,38,False,,,False,True,9,-9,4
person0,v31,31,2.0795283,v38,38,False,,,False,True,7,-7,5
person0,v77,77,2.1174512,v38,38,False,,,False,True,39,39,6
person0,v10,10,2.129412,v38,38,False,,,False,True,28,-28,7
person0,v52,52,2.1338606,v38,38,False,,,False,True,14,14,8
person0,v37,37,2.148806,v38,38,False,,,False,True,1,-1,9
person0,v50,50,2.149676,v38,38,False,,,False,True,12,12,10
person0,v22,22,2.1617663,v38,38,False,,,False,True,16,-16,11
person0,v43,43,2.168497,v38,38,False,,,False,True,5,5,12
person0,v79,79,2.1916833,v38,38,False,,,False,True,41,41,13
person0,v53,53,2.1955218,v38,38,False,,,False,True,15,15,14
person0,v64,64,2.196656,v38,38,False,,,False,True,26,26,15
person0,v45,45,2.2297423,v38,38,False,,,False,True,7,7,16
person0,v35,35,2.233992,v38,38,False,,,False,True,3,-3,17
person0,v33,33,2.2343698,v38,38,False,,,False,True,5,-5,18
person0,v89,89,2.2455776,v38,38,False,,,False,True,51,51,19
person0,v41,41,2.2558873,v38,38,False,,,False,True,3,3,20
person0,v69,69,2.2559285,v38,38,False,,,False,True,31,31,21
person0,v55,55,2.2609274,v38,38,False,,,False,True,17,17,22
person0,v63,63,2.2652402,v38,38,False,,,False,True,25,25,23
person0,v14,14,2.2666538,v38,38,False,,,False,True,24,-24,24
person0,v21,21,2.2672043,v38,38,False,,,False,True,17,-17,25
person0,v54,54,2.2699795,v38,38,False,,,False,True,16,16,26
person0,v7,7,2.2723446,v38,38,False,,,False,True,31,-31,27
person0,v19,19,2.2739165,v38,38,False,,,False,True,19,-19,28
person0,v25,25,2.2741675,v38,38,False,,,False,True,13,-13,29
person0,v87,87,2.2787147,v38,38,False,,,False,True,49,49,30
person0,v90,90,2.284463,v38,38,False,,,False,True,52,52,31
person0,v46,46,2.2853281,v38,38,False,,,False,True,8,8,32
person0,v28,28,2.2854662,v38,38,False,,,False,True,10,-10,33
person0,v57,57,2.285878,v38,38,False,,,False,True,19,19,34
person0,v95,95,2.2925339,v38,38,False,,,False,True,57,57,35
person0,v71,71,2.3013053,v38,38,False,,,False,True,33,33,36
person0,v82,82,2.3040204,v38,38,False,,,False,True,44,44,37
person0,v34,34,2.309235,v38,38,False,,,False,True,4,-4,38
person0,v75,75,2.3106031,v38,38,False,,,False,True,37,37,39
person0,v15,15,2.3127196,v38,38,False,,,False,True,23,-23,40
person0,v12,12,2.317204,v38,38,False,,,False,True,26,-26,41
person0,v6,6,2.3191628,v38,38,False,,,False,True,32,-32,42
person0,v97,97,2.3213582,v38,38,False,,,False,True,59,59,43
person0,v61,61,2.3215647,v38,38,False,,,False,True,23,23,44
person0,v51,51,2.3272383,v38,38,False,,,False,True,13,13,45
person0,v39,39,2.3297107,v38,38,False,,,False,True,1,1,46
person0,v81,81,2.3309271,v38,38,False,,,False,True,43,43,47
person0,v13,13,2.3353586,v38,38,False,,,False,True,25,-25,48
